Gene stable ID,cf30e346-e776-4e2d-bb12-09eeea464960
ENSG00000000003,3825
ENSG00000000005,12
ENSG00000000419,3031
ENSG00000000457,1291
ENSG00000000460,865
ENSG00000000938,412
ENSG00000000971,1795
ENSG00000001036,7057
ENSG00000001084,3193
ENSG00000001167,6111
ENSG00000001460,896
ENSG00000001461,4854
ENSG00000001497,1516
ENSG00000001561,1687
ENSG00000001617,2658
ENSG00000001626,6
ENSG00000001629,7266
ENSG00000001630,462
ENSG00000001631,2322
ENSG00000002016,667
ENSG00000002079,15
ENSG00000002330,2049
ENSG00000002549,7004
ENSG00000002586,5176
ENSG00000002587,562
ENSG00000002726,35
ENSG00000002745,9
ENSG00000002746,30
ENSG00000002822,757
ENSG00000002834,9783
ENSG00000002919,1915
ENSG00000002933,1166
ENSG00000003056,6444
ENSG00000003096,1137
ENSG00000003137,1112
ENSG00000003147,3629
ENSG00000003249,6578
ENSG00000003393,1914
ENSG00000003400,307
ENSG00000003402,4492
ENSG00000003436,652
ENSG00000003509,1140
ENSG00000003756,4181
ENSG00000003987,27
ENSG00000003989,217
ENSG00000004059,14204
ENSG00000004139,134
ENSG00000004142,14037
ENSG00000004399,4324
ENSG00000004455,8463
ENSG00000004468,85
ENSG00000004478,26638
ENSG00000004487,10003
ENSG00000004534,3326
ENSG00000004660,755
ENSG00000004700,2072
ENSG00000004766,1981
ENSG00000004776,395
ENSG00000004777,126
ENSG00000004779,5114
ENSG00000004799,876
ENSG00000004809,17
ENSG00000004838,52
ENSG00000004846,5
ENSG00000004848,2
ENSG00000004864,2575
ENSG00000004866,2162
ENSG00000004897,4908
ENSG00000004939,0
ENSG00000004948,6
ENSG00000004961,1128
ENSG00000004975,2656
ENSG00000005001,266
ENSG00000005007,6792
ENSG00000005020,4335
ENSG00000005022,9935
ENSG00000005059,5937
ENSG00000005073,63
ENSG00000005075,2506
ENSG00000005100,3809
ENSG00000005102,105
ENSG00000005108,121
ENSG00000005156,2923
ENSG00000005175,1657
ENSG00000005187,22
ENSG00000005189,404
ENSG00000005194,3402
ENSG00000005206,1594
ENSG00000005238,1328
ENSG00000005243,702
ENSG00000005249,2577
ENSG00000005302,2059
ENSG00000005339,7923
ENSG00000005379,3055
ENSG00000005381,42
ENSG00000005421,14
ENSG00000005436,2165
ENSG00000005448,692
ENSG00000005469,631
ENSG00000005471,60
ENSG00000005483,7001
ENSG00000005486,2993
ENSG00000005513,120
ENSG00000005700,3980
ENSG00000005801,1315
ENSG00000005810,4185
ENSG00000005812,4584
ENSG00000005844,472
ENSG00000005882,378
ENSG00000005884,2309
ENSG00000005889,1231
ENSG00000005893,12147
ENSG00000005961,2
ENSG00000005981,33
ENSG00000006007,7486
ENSG00000006015,686
ENSG00000006016,443
ENSG00000006025,232
ENSG00000006042,3977
ENSG00000006047,545
ENSG00000006059,1
ENSG00000006062,808
ENSG00000006071,8
ENSG00000006116,1
ENSG00000006118,5218
ENSG00000006125,17583
ENSG00000006128,12
ENSG00000006194,2314
ENSG00000006210,16991
ENSG00000006282,1238
ENSG00000006283,16
ENSG00000006327,5264
ENSG00000006377,153
ENSG00000006432,2057
ENSG00000006451,4991
ENSG00000006453,6419
ENSG00000006459,2277
ENSG00000006468,540
ENSG00000006530,2826
ENSG00000006534,604
ENSG00000006555,1782
ENSG00000006576,3204
ENSG00000006606,13
ENSG00000006607,1988
ENSG00000006611,2
ENSG00000006625,5060
ENSG00000006634,2824
ENSG00000006638,97
ENSG00000006652,8344
ENSG00000006659,1
ENSG00000006695,2298
ENSG00000006704,1604
ENSG00000006712,2346
ENSG00000006715,4082
ENSG00000006740,119
ENSG00000006744,5623
ENSG00000006747,264
ENSG00000006756,2163
ENSG00000006757,430
ENSG00000006788,45
ENSG00000006831,8879
ENSG00000006837,60
ENSG00000007001,11
ENSG00000007038,6
ENSG00000007047,1655
ENSG00000007062,54614
ENSG00000007080,2273
ENSG00000007129,110
ENSG00000007168,20516
ENSG00000007171,62
ENSG00000007174,9
ENSG00000007202,23146
ENSG00000007216,2
ENSG00000007237,982
ENSG00000007255,814
ENSG00000007264,84
ENSG00000007306,0
ENSG00000007312,136
ENSG00000007314,29
ENSG00000007341,897
ENSG00000007350,4
ENSG00000007372,78
ENSG00000007376,1592
ENSG00000007384,3104
ENSG00000007392,2374
ENSG00000007402,43
ENSG00000007516,15
ENSG00000007520,2280
ENSG00000007541,1459
ENSG00000007545,1659
ENSG00000007866,2874
ENSG00000007908,151
ENSG00000007923,1735
ENSG00000007933,178
ENSG00000007944,1386
ENSG00000007952,38
ENSG00000007968,1656
ENSG00000008018,17314
ENSG00000008056,123
ENSG00000008083,4584
ENSG00000008086,1398
ENSG00000008118,27
ENSG00000008128,116
ENSG00000008130,2324
ENSG00000008196,54
ENSG00000008197,0
ENSG00000008226,44
ENSG00000008256,2881
ENSG00000008277,332
ENSG00000008282,13176
ENSG00000008283,18747
ENSG00000008294,9155
ENSG00000008300,733
ENSG00000008311,161
ENSG00000008323,1045
ENSG00000008324,1563
ENSG00000008382,510
ENSG00000008394,38888
ENSG00000008405,1917
ENSG00000008438,1
ENSG00000008441,26646
ENSG00000008513,2161
ENSG00000008516,243
ENSG00000008517,1717
ENSG00000008710,2544
ENSG00000008735,34
ENSG00000008838,5405
ENSG00000008853,254
ENSG00000008869,2707
ENSG00000008952,12730
ENSG00000008988,79771
ENSG00000009307,36287
ENSG00000009335,6506
ENSG00000009413,2699
ENSG00000009694,12
ENSG00000009709,0
ENSG00000009724,12
ENSG00000009765,5
ENSG00000009780,1222
ENSG00000009790,767
ENSG00000009830,2180
ENSG00000009844,7405
ENSG00000009950,68
ENSG00000009954,11351
ENSG00000010017,5961
ENSG00000010030,374
ENSG00000010072,1257
ENSG00000010165,4709
ENSG00000010219,2791
ENSG00000010244,10635
ENSG00000010256,12123
ENSG00000010270,1932
ENSG00000010278,40331
ENSG00000010282,1
ENSG00000010292,14517
ENSG00000010295,340
ENSG00000010310,5
ENSG00000010318,106
ENSG00000010319,413
ENSG00000010322,3978
ENSG00000010327,1550
ENSG00000010361,703
ENSG00000010379,1
ENSG00000010404,3936
ENSG00000010438,30
ENSG00000010539,760
ENSG00000010610,1629
ENSG00000010626,419
ENSG00000010671,284
ENSG00000010704,724
ENSG00000010803,3882
ENSG00000010810,1133
ENSG00000010818,3299
ENSG00000010932,151
ENSG00000011007,5170
ENSG00000011009,4082
ENSG00000011021,801
ENSG00000011028,11157
ENSG00000011052,45
ENSG00000011083,0
ENSG00000011105,3081
ENSG00000011114,1253
ENSG00000011132,703
ENSG00000011143,1040
ENSG00000011198,1669
ENSG00000011201,124
ENSG00000011243,2050
ENSG00000011258,4156
ENSG00000011260,6777
ENSG00000011275,2373
ENSG00000011295,5357
ENSG00000011304,17606
ENSG00000011332,6
ENSG00000011347,5780
ENSG00000011376,1423
ENSG00000011405,3161
ENSG00000011422,4857
ENSG00000011426,5819
ENSG00000011451,4203
ENSG00000011454,4043
ENSG00000011465,21170
ENSG00000011478,1230
ENSG00000011485,3349
ENSG00000011523,2216
ENSG00000011566,2666
ENSG00000011590,18
ENSG00000011600,1604
ENSG00000011638,5242
ENSG00000011677,3
ENSG00000012048,290
ENSG00000012061,2492
ENSG00000012124,132
ENSG00000012171,139
ENSG00000012174,972
ENSG00000012211,266
ENSG00000012223,2311
ENSG00000012232,2258
ENSG00000012504,0
ENSG00000012660,8337
ENSG00000012779,377
ENSG00000012817,1
ENSG00000012822,1497
ENSG00000012963,1473
ENSG00000012983,5629
ENSG00000013016,2863
ENSG00000013275,4783
ENSG00000013288,2251
ENSG00000013293,1
ENSG00000013297,1777
ENSG00000013306,11591
ENSG00000013364,5126
ENSG00000013374,2518
ENSG00000013375,5218
ENSG00000013392,914
ENSG00000013441,3330
ENSG00000013503,735
ENSG00000013523,1053
ENSG00000013561,3308
ENSG00000013563,314
ENSG00000013573,1214
ENSG00000013583,3641
ENSG00000013588,42392
ENSG00000013619,668
ENSG00000013725,485
ENSG00000013810,1508
ENSG00000014123,2177
ENSG00000014138,1482
ENSG00000014164,1915
ENSG00000014216,16064
ENSG00000014257,12
ENSG00000014641,21236
ENSG00000014824,7158
ENSG00000014914,2923
ENSG00000014919,2321
ENSG00000015133,1231
ENSG00000015153,941
ENSG00000015171,15320
ENSG00000015285,286
ENSG00000015413,18
ENSG00000015475,3606
ENSG00000015479,199
ENSG00000015520,16
ENSG00000015532,1886
ENSG00000015568,0
ENSG00000015592,3
ENSG00000015676,5294
ENSG00000016082,1
ENSG00000016391,2695
ENSG00000016402,75
ENSG00000016490,0
ENSG00000016602,3
ENSG00000016864,4292
ENSG00000017260,13722
ENSG00000017427,49
ENSG00000017483,1197
ENSG00000017797,17274
ENSG00000018189,2615
ENSG00000018236,292
ENSG00000018280,439
ENSG00000018408,14340
ENSG00000018510,3164
ENSG00000018607,0
ENSG00000018610,1328
ENSG00000018625,47
ENSG00000018699,2779
ENSG00000018869,125
ENSG00000019102,69
ENSG00000019144,5112
ENSG00000019169,253
ENSG00000019186,13
ENSG00000019485,994
ENSG00000019505,35
ENSG00000019549,734
ENSG00000019582,33740
ENSG00000019991,124
ENSG00000019995,2857
ENSG00000020129,1704
ENSG00000020181,817
ENSG00000020219,0
ENSG00000020256,1890
ENSG00000020426,872
ENSG00000020577,3374
ENSG00000020633,1848
ENSG00000020922,3440
ENSG00000021300,4746
ENSG00000021355,2198
ENSG00000021461,1
ENSG00000021488,28
ENSG00000021574,3998
ENSG00000021645,201
ENSG00000021762,1165
ENSG00000021776,3308
ENSG00000021826,88
ENSG00000021852,0
ENSG00000022267,2087
ENSG00000022277,6336
ENSG00000022355,5
ENSG00000022556,10123
ENSG00000022567,2771
ENSG00000022840,9599
ENSG00000022976,634
ENSG00000023041,4239
ENSG00000023171,47
ENSG00000023191,6042
ENSG00000023228,9523
ENSG00000023287,6869
ENSG00000023318,3707
ENSG00000023330,5181
ENSG00000023445,1580
ENSG00000023516,2848
ENSG00000023572,1524
ENSG00000023608,678
ENSG00000023697,3727
ENSG00000023734,20698
ENSG00000023839,19
ENSG00000023892,1111
ENSG00000023902,1607
ENSG00000023909,3824
ENSG00000024048,4621
ENSG00000024422,5729
ENSG00000024526,1543
ENSG00000024862,2152
ENSG00000025039,1112
ENSG00000025156,2451
ENSG00000025293,3449
ENSG00000025423,455
ENSG00000025434,1007
ENSG00000025708,1265
ENSG00000025770,1611
ENSG00000025772,5497
ENSG00000025796,15629
ENSG00000025800,6018
ENSG00000026025,232469
ENSG00000026036,31
ENSG00000026103,3131
ENSG00000026297,2981
ENSG00000026508,11710
ENSG00000026559,19
ENSG00000026652,2071
ENSG00000026751,356
ENSG00000026950,1069
ENSG00000027001,1104
ENSG00000027075,1665
ENSG00000027644,10
ENSG00000027697,7967
ENSG00000027847,870
ENSG00000027869,958
ENSG00000028116,2315
ENSG00000028137,913
ENSG00000028203,8645
ENSG00000028277,366
ENSG00000028310,1737
ENSG00000028528,3027
ENSG00000028839,3038
ENSG00000029153,3917
ENSG00000029363,11947
ENSG00000029364,8811
ENSG00000029534,17
ENSG00000029559,153
ENSG00000029639,1566
ENSG00000029725,7499
ENSG00000029993,4125
ENSG00000030066,4803
ENSG00000030110,1516
ENSG00000030304,0
ENSG00000030419,248
ENSG00000030582,13714
ENSG00000031003,1561
ENSG00000031081,2513
ENSG00000031691,397
ENSG00000031698,9450
ENSG00000031823,2951
ENSG00000032219,1371
ENSG00000032389,1029
ENSG00000032444,5307
ENSG00000032742,819
ENSG00000033011,1479
ENSG00000033030,1477
ENSG00000033050,3549
ENSG00000033100,2368
ENSG00000033122,29
ENSG00000033170,1750
ENSG00000033178,4531
ENSG00000033327,9814
ENSG00000033627,3168
ENSG00000033800,1093
ENSG00000033867,2071
ENSG00000034053,114
ENSG00000034152,3247
ENSG00000034239,5
ENSG00000034510,100807
ENSG00000034533,458
ENSG00000034677,4469
ENSG00000034693,2120
ENSG00000034713,5875
ENSG00000034971,3
ENSG00000035115,4603
ENSG00000035141,3957
ENSG00000035403,46975
ENSG00000035499,434
ENSG00000035664,950
ENSG00000035681,3372
