Gene stable ID,a4ff1982-e6e7-4fee-9ea4-a68122200339
ENSG00000000003,3510
ENSG00000000005,19
ENSG00000000419,3040
ENSG00000000457,3517
ENSG00000000460,1069
ENSG00000000938,1070
ENSG00000000971,14024
ENSG00000001036,4239
ENSG00000001084,2733
ENSG00000001167,5255
ENSG00000001460,1083
ENSG00000001461,4895
ENSG00000001497,4112
ENSG00000001561,2815
ENSG00000001617,14203
ENSG00000001626,126
ENSG00000001629,6686
ENSG00000001630,331
ENSG00000001631,3559
ENSG00000002016,970
ENSG00000002079,12
ENSG00000002330,2610
ENSG00000002549,14017
ENSG00000002586,18217
ENSG00000002587,866
ENSG00000002726,55
ENSG00000002745,12
ENSG00000002746,53
ENSG00000002822,1686
ENSG00000002834,24234
ENSG00000002919,2294
ENSG00000002933,4413
ENSG00000003056,7402
ENSG00000003096,2593
ENSG00000003137,565
ENSG00000003147,5981
ENSG00000003249,2269
ENSG00000003393,3786
ENSG00000003400,2780
ENSG00000003402,14029
ENSG00000003436,6257
ENSG00000003509,1270
ENSG00000003756,11156
ENSG00000003987,163
ENSG00000003989,12178
ENSG00000004059,10350
ENSG00000004139,687
ENSG00000004142,7034
ENSG00000004399,22439
ENSG00000004455,13969
ENSG00000004468,372
ENSG00000004478,26811
ENSG00000004487,10337
ENSG00000004534,8440
ENSG00000004660,1244
ENSG00000004700,3337
ENSG00000004766,3539
ENSG00000004776,1659
ENSG00000004777,789
ENSG00000004779,3673
ENSG00000004799,6401
ENSG00000004809,9
ENSG00000004838,1598
ENSG00000004846,92
ENSG00000004848,5
ENSG00000004864,2098
ENSG00000004866,2982
ENSG00000004897,6884
ENSG00000004939,2
ENSG00000004948,57
ENSG00000004961,2048
ENSG00000004975,2504
ENSG00000005001,886
ENSG00000005007,11630
ENSG00000005020,4896
ENSG00000005022,19521
ENSG00000005059,2910
ENSG00000005073,20
ENSG00000005075,2187
ENSG00000005100,2407
ENSG00000005102,4970
ENSG00000005108,4007
ENSG00000005156,2505
ENSG00000005175,3374
ENSG00000005187,737
ENSG00000005189,446
ENSG00000005194,3271
ENSG00000005206,2820
ENSG00000005238,1931
ENSG00000005243,1726
ENSG00000005249,2593
ENSG00000005302,3330
ENSG00000005339,15809
ENSG00000005379,1413
ENSG00000005381,27
ENSG00000005421,14
ENSG00000005436,2809
ENSG00000005448,1328
ENSG00000005469,3471
ENSG00000005471,179
ENSG00000005483,14434
ENSG00000005486,8035
ENSG00000005513,141
ENSG00000005700,5995
ENSG00000005801,3074
ENSG00000005810,11814
ENSG00000005812,10622
ENSG00000005844,2173
ENSG00000005882,2251
ENSG00000005884,9612
ENSG00000005889,6520
ENSG00000005893,24786
ENSG00000005961,43
ENSG00000005981,24
ENSG00000006007,8921
ENSG00000006015,1041
ENSG00000006016,503
ENSG00000006025,1207
ENSG00000006042,7068
ENSG00000006047,69
ENSG00000006059,5
ENSG00000006062,3050
ENSG00000006071,364
ENSG00000006116,1
ENSG00000006118,2257
ENSG00000006125,27739
ENSG00000006128,326
ENSG00000006194,4196
ENSG00000006210,18865
ENSG00000006282,3103
ENSG00000006283,396
ENSG00000006327,4220
ENSG00000006377,14
ENSG00000006432,1272
ENSG00000006451,7131
ENSG00000006453,2863
ENSG00000006459,6146
ENSG00000006468,3076
ENSG00000006530,2787
ENSG00000006534,1092
ENSG00000006555,1316
ENSG00000006576,2765
ENSG00000006606,20
ENSG00000006607,4319
ENSG00000006611,21
ENSG00000006625,4416
ENSG00000006634,1356
ENSG00000006638,385
ENSG00000006652,3286
ENSG00000006659,2
ENSG00000006695,1191
ENSG00000006704,2369
ENSG00000006712,5956
ENSG00000006715,5949
ENSG00000006740,756
ENSG00000006744,4316
ENSG00000006747,576
ENSG00000006756,7824
ENSG00000006757,2182
ENSG00000006788,55
ENSG00000006831,8393
ENSG00000006837,60
ENSG00000007001,12
ENSG00000007038,43
ENSG00000007047,4110
ENSG00000007062,7575
ENSG00000007080,2440
ENSG00000007129,188
ENSG00000007168,14420
ENSG00000007171,37
ENSG00000007174,133
ENSG00000007202,15298
ENSG00000007216,709
ENSG00000007237,11568
ENSG00000007255,1350
ENSG00000007264,273
ENSG00000007306,6
ENSG00000007312,946
ENSG00000007314,233
ENSG00000007341,1361
ENSG00000007350,8
ENSG00000007372,309
ENSG00000007376,1282
ENSG00000007384,4487
ENSG00000007392,3077
ENSG00000007402,2005
ENSG00000007516,880
ENSG00000007520,2350
ENSG00000007541,5271
ENSG00000007545,2675
ENSG00000007866,4444
ENSG00000007908,3200
ENSG00000007923,2961
ENSG00000007933,1046
ENSG00000007944,6354
ENSG00000007952,82
ENSG00000007968,554
ENSG00000008018,9699
ENSG00000008056,99
ENSG00000008083,3806
ENSG00000008086,2351
ENSG00000008118,19
ENSG00000008128,431
ENSG00000008130,5285
ENSG00000008196,7117
ENSG00000008197,0
ENSG00000008226,70
ENSG00000008256,8267
ENSG00000008277,1702
ENSG00000008282,18750
ENSG00000008283,8734
ENSG00000008294,9570
ENSG00000008300,1032
ENSG00000008311,1176
ENSG00000008323,741
ENSG00000008324,1773
ENSG00000008382,1512
ENSG00000008394,9460
ENSG00000008405,3078
ENSG00000008438,0
ENSG00000008441,16191
ENSG00000008513,6685
ENSG00000008516,169
ENSG00000008517,3826
ENSG00000008710,8403
ENSG00000008735,692
ENSG00000008838,5842
ENSG00000008853,2679
ENSG00000008869,6060
ENSG00000008952,19890
ENSG00000008988,74608
ENSG00000009307,80559
ENSG00000009335,11756
ENSG00000009413,4513
ENSG00000009694,133
ENSG00000009709,0
ENSG00000009724,177
ENSG00000009765,0
ENSG00000009780,1915
ENSG00000009790,886
ENSG00000009830,2987
ENSG00000009844,4052
ENSG00000009950,28
ENSG00000009954,14172
ENSG00000010017,5901
ENSG00000010030,392
ENSG00000010072,1530
ENSG00000010165,4325
ENSG00000010219,1628
ENSG00000010244,13647
ENSG00000010256,10326
ENSG00000010270,3158
ENSG00000010278,35888
ENSG00000010282,10
ENSG00000010292,7885
ENSG00000010295,1187
ENSG00000010310,173
ENSG00000010318,456
ENSG00000010319,9375
ENSG00000010322,12603
ENSG00000010327,7732
ENSG00000010361,1622
ENSG00000010379,4
ENSG00000010404,15317
ENSG00000010438,16
ENSG00000010539,1347
ENSG00000010610,6583
ENSG00000010626,748
ENSG00000010671,1016
ENSG00000010704,1788
ENSG00000010803,5884
ENSG00000010810,5664
ENSG00000010818,3976
ENSG00000010932,1102
ENSG00000011007,5335
ENSG00000011009,5595
ENSG00000011021,2719
ENSG00000011028,12149
ENSG00000011052,27
ENSG00000011083,22
ENSG00000011105,10469
ENSG00000011114,6644
ENSG00000011132,1074
ENSG00000011143,1565
ENSG00000011198,1769
ENSG00000011201,1651
ENSG00000011243,3930
ENSG00000011258,2694
ENSG00000011260,3052
ENSG00000011275,5841
