Gene stable ID,508814d3-8a12-4922-a0d7-004d65387e06
ENSG00000000003,2461
ENSG00000000005,145
ENSG00000000419,2330
ENSG00000000457,1788
ENSG00000000460,460
ENSG00000000938,1189
ENSG00000000971,11662
ENSG00000001036,4053
ENSG00000001084,2689
ENSG00000001167,2719
ENSG00000001460,756
ENSG00000001461,1964
ENSG00000001497,2852
ENSG00000001561,2482
ENSG00000001617,3767
ENSG00000001626,10
ENSG00000001629,4792
ENSG00000001630,112
ENSG00000001631,2103
ENSG00000002016,359
ENSG00000002079,12
ENSG00000002330,934
ENSG00000002549,11589
ENSG00000002586,30842
ENSG00000002587,488
ENSG00000002726,39
ENSG00000002745,19
ENSG00000002746,70
ENSG00000002822,1349
ENSG00000002834,26774
ENSG00000002919,1649
ENSG00000002933,3579
ENSG00000003056,4166
ENSG00000003096,195
ENSG00000003137,809
ENSG00000003147,4055
ENSG00000003249,551
ENSG00000003393,1673
ENSG00000003400,1470
ENSG00000003402,7781
ENSG00000003436,3675
ENSG00000003509,810
ENSG00000003756,5588
ENSG00000003987,82
ENSG00000003989,2379
ENSG00000004059,7296
ENSG00000004139,402
ENSG00000004142,6080
ENSG00000004399,16910
ENSG00000004455,6607
ENSG00000004468,451
ENSG00000004478,7299
ENSG00000004487,4683
ENSG00000004534,5344
ENSG00000004660,646
ENSG00000004700,2682
ENSG00000004766,1679
ENSG00000004776,1829
ENSG00000004777,446
ENSG00000004779,2265
ENSG00000004799,4828
ENSG00000004809,4
ENSG00000004838,812
ENSG00000004846,48
ENSG00000004848,14
ENSG00000004864,1362
ENSG00000004866,2176
ENSG00000004897,6195
ENSG00000004939,3
ENSG00000004948,10
ENSG00000004961,1087
ENSG00000004975,1994
ENSG00000005001,230
ENSG00000005007,6264
ENSG00000005020,3815
ENSG00000005022,10338
ENSG00000005059,2927
ENSG00000005073,308
ENSG00000005075,1553
ENSG00000005100,1652
ENSG00000005102,983
ENSG00000005108,2120
ENSG00000005156,2055
ENSG00000005175,2400
ENSG00000005187,201
ENSG00000005189,319
ENSG00000005194,2294
ENSG00000005206,1199
ENSG00000005238,2189
ENSG00000005243,4347
ENSG00000005249,4371
ENSG00000005302,2420
ENSG00000005339,7393
ENSG00000005379,546
ENSG00000005381,20
ENSG00000005421,27
ENSG00000005436,1411
ENSG00000005448,725
ENSG00000005469,1917
ENSG00000005471,286
ENSG00000005483,7982
ENSG00000005486,4768
ENSG00000005513,94
ENSG00000005700,5061
ENSG00000005801,1336
ENSG00000005810,6521
ENSG00000005812,6574
ENSG00000005844,4522
ENSG00000005882,1285
ENSG00000005884,4191
ENSG00000005889,3612
ENSG00000005893,15362
ENSG00000005961,27
ENSG00000005981,31
ENSG00000006007,5674
ENSG00000006015,456
ENSG00000006016,161
ENSG00000006025,958
ENSG00000006042,4080
ENSG00000006047,104
ENSG00000006059,2
ENSG00000006062,1500
ENSG00000006071,282
ENSG00000006116,0
ENSG00000006118,3204
ENSG00000006125,19820
ENSG00000006128,4
ENSG00000006194,2554
ENSG00000006210,2867
ENSG00000006282,3824
ENSG00000006283,84
ENSG00000006327,3425
ENSG00000006377,11
ENSG00000006432,319
ENSG00000006451,6720
ENSG00000006453,1578
ENSG00000006459,3538
ENSG00000006468,1547
ENSG00000006530,2021
ENSG00000006534,972
ENSG00000006555,191
ENSG00000006576,3391
ENSG00000006606,71
ENSG00000006607,2496
ENSG00000006611,0
ENSG00000006625,3231
ENSG00000006634,630
ENSG00000006638,366
ENSG00000006652,1370
ENSG00000006659,0
ENSG00000006695,970
ENSG00000006704,1322
ENSG00000006712,5510
ENSG00000006715,3888
ENSG00000006740,800
ENSG00000006744,4585
ENSG00000006747,709
ENSG00000006756,5640
ENSG00000006757,1481
ENSG00000006788,108
ENSG00000006831,15134
ENSG00000006837,46
ENSG00000007001,4
ENSG00000007038,61
ENSG00000007047,2432
ENSG00000007062,236
ENSG00000007080,1821
ENSG00000007129,202
ENSG00000007168,11950
ENSG00000007171,125
ENSG00000007174,42
ENSG00000007202,5756
ENSG00000007216,16
ENSG00000007237,6666
ENSG00000007255,952
ENSG00000007264,242
ENSG00000007306,22
ENSG00000007312,1067
ENSG00000007314,288
ENSG00000007341,707
ENSG00000007350,17
ENSG00000007372,217
ENSG00000007376,660
ENSG00000007384,2129
ENSG00000007392,2248
ENSG00000007402,1077
ENSG00000007516,142
ENSG00000007520,1648
ENSG00000007541,1973
ENSG00000007545,784
ENSG00000007866,2363
ENSG00000007908,2589
ENSG00000007923,1792
ENSG00000007933,1019
ENSG00000007944,2838
ENSG00000007952,53
ENSG00000007968,122
ENSG00000008018,8661
ENSG00000008056,96
ENSG00000008083,1991
ENSG00000008086,2301
ENSG00000008118,13
ENSG00000008128,295
ENSG00000008130,2709
ENSG00000008196,3180
ENSG00000008197,0
ENSG00000008226,54
ENSG00000008256,5620
ENSG00000008277,844
ENSG00000008282,10076
ENSG00000008283,6628
ENSG00000008294,7191
ENSG00000008300,161
ENSG00000008311,545
ENSG00000008323,392
ENSG00000008324,1177
ENSG00000008382,965
ENSG00000008394,4639
ENSG00000008405,1714
ENSG00000008438,2
ENSG00000008441,10858
ENSG00000008513,4752
ENSG00000008516,139
ENSG00000008517,6925
ENSG00000008710,2034
ENSG00000008735,358
ENSG00000008838,3720
ENSG00000008853,2307
ENSG00000008869,2976
ENSG00000008952,14056
ENSG00000008988,52724
ENSG00000009307,42481
ENSG00000009335,6483
ENSG00000009413,2240
ENSG00000009694,113
ENSG00000009709,1
ENSG00000009724,43
ENSG00000009765,10
ENSG00000009780,1191
ENSG00000009790,1509
ENSG00000009830,1247
ENSG00000009844,3756
ENSG00000009950,112
ENSG00000009954,8485
ENSG00000010017,4719
ENSG00000010030,425
ENSG00000010072,1164
ENSG00000010165,2516
ENSG00000010219,1305
ENSG00000010244,10303
ENSG00000010256,7934
ENSG00000010270,2222
ENSG00000010278,20708
ENSG00000010282,2
ENSG00000010292,3795
ENSG00000010295,1753
ENSG00000010310,170
ENSG00000010318,391
ENSG00000010319,4945
ENSG00000010322,4646
ENSG00000010327,4585
ENSG00000010361,499
ENSG00000010379,1
ENSG00000010404,11407
ENSG00000010438,1
ENSG00000010539,769
ENSG00000010610,8002
ENSG00000010626,446
ENSG00000010671,1217
ENSG00000010704,1415
ENSG00000010803,2814
ENSG00000010810,6047
ENSG00000010818,4051
ENSG00000010932,1001
ENSG00000011007,3800
ENSG00000011009,3084
ENSG00000011021,1257
ENSG00000011028,23728
ENSG00000011052,16
ENSG00000011083,10
ENSG00000011105,7385
ENSG00000011114,2279
ENSG00000011132,595
ENSG00000011143,808
ENSG00000011198,1235
ENSG00000011201,3621
ENSG00000011243,2647
ENSG00000011258,1302
ENSG00000011260,2129
ENSG00000011275,3609
ENSG00000011295,3226
ENSG00000011304,13147
ENSG00000011332,26
ENSG00000011347,2514
ENSG00000011376,1517
ENSG00000011405,5342
ENSG00000011422,6247
ENSG00000011426,1198
ENSG00000011451,3081
ENSG00000011454,5260
ENSG00000011465,173988
ENSG00000011478,488
ENSG00000011485,2977
ENSG00000011523,3199
ENSG00000011566,3115
ENSG00000011590,38
ENSG00000011600,3854
ENSG00000011638,2642
ENSG00000011677,2
ENSG00000012048,705
ENSG00000012061,3909
ENSG00000012124,1283
ENSG00000012171,1024
ENSG00000012174,1957
ENSG00000012211,447
ENSG00000012223,54578
ENSG00000012232,2475
ENSG00000012504,0
ENSG00000012660,25247
ENSG00000012779,2153
ENSG00000012817,0
ENSG00000012822,6339
ENSG00000012963,4290
ENSG00000012983,6367
ENSG00000013016,2122
ENSG00000013275,5429
ENSG00000013288,6378
ENSG00000013293,0
ENSG00000013297,600
ENSG00000013306,6233
ENSG00000013364,13812
ENSG00000013374,5831
ENSG00000013375,3324
ENSG00000013392,572
ENSG00000013441,7477
ENSG00000013503,904
ENSG00000013523,1255
ENSG00000013561,4101
ENSG00000013563,1827
ENSG00000013573,1281
ENSG00000013583,3945
ENSG00000013588,17159
ENSG00000013619,484
ENSG00000013725,1930
ENSG00000013810,2181
ENSG00000014123,3656
ENSG00000014138,1042
ENSG00000014164,903
ENSG00000014216,10373
ENSG00000014257,56
ENSG00000014641,7629
ENSG00000014824,4504
ENSG00000014914,1409
ENSG00000014919,2523
ENSG00000015133,3186
ENSG00000015153,1304
ENSG00000015171,10007
ENSG00000015285,1686
ENSG00000015413,239
ENSG00000015475,1780
ENSG00000015479,360
ENSG00000015520,15
ENSG00000015532,2377
ENSG00000015568,2
ENSG00000015592,16
ENSG00000015676,6625
ENSG00000016082,10
ENSG00000016391,1051
ENSG00000016402,1062
ENSG00000016490,0
ENSG00000016602,3
ENSG00000016864,6131
ENSG00000017260,7237
ENSG00000017427,513
ENSG00000017483,2253
ENSG00000017797,5304
ENSG00000018189,2485
ENSG00000018236,3340
ENSG00000018280,399
ENSG00000018408,10891
ENSG00000018510,3422
ENSG00000018607,0
ENSG00000018610,1409
ENSG00000018625,217
ENSG00000018699,1354
ENSG00000018869,419
ENSG00000019102,114
ENSG00000019144,11637
ENSG00000019169,123
ENSG00000019186,27
ENSG00000019485,513
ENSG00000019505,98
ENSG00000019549,3721
ENSG00000019582,243049
ENSG00000019991,1050
ENSG00000019995,1138
ENSG00000020129,2475
ENSG00000020181,5376
ENSG00000020219,0
ENSG00000020256,1136
ENSG00000020426,1006
ENSG00000020577,1870
ENSG00000020633,1832
ENSG00000020922,1887
ENSG00000021300,735
ENSG00000021355,5203
ENSG00000021461,1
ENSG00000021488,10
ENSG00000021574,2122
ENSG00000021645,174
ENSG00000021762,2421
ENSG00000021776,4155
ENSG00000021826,385
ENSG00000021852,0
ENSG00000022267,6504
ENSG00000022277,6887
ENSG00000022355,3
ENSG00000022556,79
ENSG00000022567,786
ENSG00000022840,12282
ENSG00000022976,471
ENSG00000023041,2863
ENSG00000023171,212
ENSG00000023191,6950
ENSG00000023228,5649
ENSG00000023287,4864
ENSG00000023318,5134
ENSG00000023330,3648
ENSG00000023445,3668
ENSG00000023516,5585
ENSG00000023572,531
ENSG00000023608,578
ENSG00000023697,1923
ENSG00000023734,6825
ENSG00000023839,43
ENSG00000023892,2136
ENSG00000023902,7229
ENSG00000023909,1952
ENSG00000024048,4365
ENSG00000024422,14910
ENSG00000024526,185
ENSG00000024862,1927
ENSG00000025039,818
ENSG00000025156,1071
ENSG00000025293,4506
ENSG00000025423,1198
ENSG00000025434,1433
ENSG00000025708,5515
ENSG00000025770,2171
ENSG00000025772,1757
ENSG00000025796,10024
ENSG00000025800,5738
ENSG00000026025,172723
ENSG00000026036,76
ENSG00000026103,2261
ENSG00000026297,2955
ENSG00000026508,30114
ENSG00000026559,19
ENSG00000026652,1040
ENSG00000026751,1932
ENSG00000026950,3554
ENSG00000027001,1511
ENSG00000027075,4632
ENSG00000027644,44
ENSG00000027697,8209
ENSG00000027847,1706
ENSG00000027869,440
ENSG00000028116,1338
ENSG00000028137,6410
ENSG00000028203,5157
ENSG00000028277,1056
ENSG00000028310,2137
ENSG00000028528,9804
ENSG00000028839,1105
ENSG00000029153,1072
ENSG00000029363,10951
ENSG00000029364,7490
ENSG00000029534,210
ENSG00000029559,171
ENSG00000029639,615
ENSG00000029725,11827
ENSG00000029993,4167
ENSG00000030066,3545
ENSG00000030110,1317
ENSG00000030304,11
ENSG00000030419,1296
ENSG00000030582,20852
ENSG00000031003,2666
ENSG00000031081,6531
ENSG00000031691,476
ENSG00000031698,7720
ENSG00000031823,3954
ENSG00000032219,2294
ENSG00000032389,1354
ENSG00000032444,2404
ENSG00000032742,1391
ENSG00000033011,1175
ENSG00000033030,1777
ENSG00000033050,4016
ENSG00000033100,5930
ENSG00000033122,44
ENSG00000033170,6824
ENSG00000033178,3285
ENSG00000033327,2389
ENSG00000033627,2842
ENSG00000033800,2831
ENSG00000033867,3018
ENSG00000034053,802
ENSG00000034152,2939
ENSG00000034239,18
ENSG00000034510,82406
ENSG00000034533,810
ENSG00000034677,5390
ENSG00000034693,1000
ENSG00000034713,5626
ENSG00000034971,58
ENSG00000035115,2776
ENSG00000035141,1888
ENSG00000035403,19541
ENSG00000035499,224
ENSG00000035664,706
ENSG00000035681,2692
ENSG00000035687,6692
ENSG00000035720,172
ENSG00000035862,105453
ENSG00000035928,3733
ENSG00000036054,3048
ENSG00000036257,5433
ENSG00000036448,223
ENSG00000036473,6
ENSG00000036530,93
ENSG00000036549,2466
ENSG00000036565,8
ENSG00000036672,123
ENSG00000036828,1
ENSG00000037042,927
ENSG00000037241,1276
ENSG00000037280,2329
ENSG00000037474,3910
ENSG00000037637,2133
ENSG00000037749,1775
ENSG00000037757,976
ENSG00000037897,1146
ENSG00000037965,767
ENSG00000038002,2030
ENSG00000038210,1297
ENSG00000038219,5597
ENSG00000038274,6431
ENSG00000038295,1938
ENSG00000038358,1709
ENSG00000038382,8807
ENSG00000038427,135892
ENSG00000038532,2119
ENSG00000038945,4834
ENSG00000039068,849
ENSG00000039123,4286
ENSG00000039139,180
ENSG00000039319,4477
ENSG00000039523,6498
ENSG00000039537,161
ENSG00000039560,10007
ENSG00000039600,24
ENSG00000039650,1524
ENSG00000039987,0
ENSG00000040199,747
ENSG00000040275,864
ENSG00000040341,3308
ENSG00000040487,912
ENSG00000040531,1097
ENSG00000040608,63
ENSG00000040633,3525
ENSG00000040731,1
ENSG00000040933,2603
ENSG00000041353,3372
ENSG00000041357,8986
ENSG00000041515,44
ENSG00000041802,3220
ENSG00000041880,1755
ENSG00000041982,14213
ENSG00000041988,800
ENSG00000042062,341
ENSG00000042088,1143
ENSG00000042286,1263
ENSG00000042304,0
ENSG00000042317,631
ENSG00000042429,2294
ENSG00000042445,6399
ENSG00000042493,15814
ENSG00000042753,5015
ENSG00000042781,16
ENSG00000042813,1
ENSG00000042832,80
ENSG00000042980,999
ENSG00000043039,13
ENSG00000043093,2765
ENSG00000043143,3385
ENSG00000043355,1
ENSG00000043462,4881
ENSG00000043514,966
ENSG00000043591,45
ENSG00000044012,0
ENSG00000044090,2923
ENSG00000044115,33623
ENSG00000044446,1783
ENSG00000044459,1187
ENSG00000044524,1049
ENSG00000044574,45468
ENSG00000046604,7155
ENSG00000046647,1210
ENSG00000046651,2401
ENSG00000046653,831
ENSG00000046774,0
ENSG00000046889,3061
ENSG00000047056,1072
ENSG00000047188,2668
ENSG00000047230,1869
ENSG00000047249,3211
ENSG00000047315,7030
ENSG00000047346,4506
ENSG00000047365,1528
ENSG00000047410,11574
ENSG00000047457,175
ENSG00000047578,1719
ENSG00000047579,1429
ENSG00000047597,15
ENSG00000047617,128
ENSG00000047621,1424
ENSG00000047634,434
ENSG00000047644,6947
ENSG00000047648,641
ENSG00000047662,120
ENSG00000047849,26597
ENSG00000047932,5570
ENSG00000047936,11
ENSG00000048028,1430
ENSG00000048052,1058
ENSG00000048140,2334
ENSG00000048162,978
ENSG00000048342,1083
ENSG00000048392,3205
ENSG00000048405,1915
ENSG00000048462,240
ENSG00000048471,2658
ENSG00000048540,286
ENSG00000048544,3292
ENSG00000048545,24
ENSG00000048649,5242
ENSG00000048707,4622
ENSG00000048740,5945
ENSG00000048828,14230
ENSG00000048991,2492
ENSG00000049089,2478
ENSG00000049130,5494
ENSG00000049167,616
ENSG00000049192,1329
ENSG00000049239,8285
ENSG00000049245,7334
ENSG00000049246,3235
ENSG00000049247,9
ENSG00000049249,493
ENSG00000049283,831
ENSG00000049323,7506
ENSG00000049449,11918
ENSG00000049540,18993
ENSG00000049541,1610
ENSG00000049618,6498
ENSG00000049656,5482
ENSG00000049759,4268
ENSG00000049768,753
ENSG00000049769,235
ENSG00000049860,9742
ENSG00000049883,679
ENSG00000050030,167
ENSG00000050130,2951
ENSG00000050165,10710
ENSG00000050327,695
ENSG00000050344,1916
ENSG00000050393,2149
ENSG00000050405,14024
ENSG00000050426,2455
ENSG00000050438,1103
ENSG00000050555,109
ENSG00000050628,2385
ENSG00000050730,50
ENSG00000050748,3993
ENSG00000050767,136
ENSG00000050820,2617
ENSG00000051009,2622
ENSG00000051108,12061
ENSG00000051128,1380
ENSG00000051180,379
ENSG00000051341,146
ENSG00000051382,2477
ENSG00000051523,4223
ENSG00000051596,238
ENSG00000051620,5097
ENSG00000051825,952
ENSG00000052126,2384
ENSG00000052344,5686
ENSG00000052723,2813
ENSG00000052749,2028
ENSG00000052795,3477
ENSG00000052802,2822
ENSG00000052841,5159
ENSG00000052850,51
ENSG00000053108,84
ENSG00000053254,5972
ENSG00000053328,32
ENSG00000053371,3046
ENSG00000053372,2305
ENSG00000053438,91
ENSG00000053501,1347
ENSG00000053524,40
ENSG00000053702,641
ENSG00000053747,1244
ENSG00000053770,3134
ENSG00000053900,1721
ENSG00000053918,832
ENSG00000054116,3758
ENSG00000054118,12678
ENSG00000054148,3569
ENSG00000054179,208
ENSG00000054219,1178
ENSG00000054267,5816
ENSG00000054277,370
ENSG00000054282,1865
ENSG00000054356,128
ENSG00000054392,1722
ENSG00000054523,2844
ENSG00000054598,1363
ENSG00000054611,2216
ENSG00000054654,8585
ENSG00000054690,154
ENSG00000054793,4796
ENSG00000054796,0
ENSG00000054803,327
ENSG00000054938,64
ENSG00000054965,7958
ENSG00000054967,726
ENSG00000054983,2822
ENSG00000055044,3553
ENSG00000055070,9065
ENSG00000055118,47
ENSG00000055130,5523
ENSG00000055147,2480
ENSG00000055163,3514
ENSG00000055208,7484
ENSG00000055211,4920
ENSG00000055332,5915
ENSG00000055483,2907
ENSG00000055609,6407
ENSG00000055732,105
ENSG00000055813,115
ENSG00000055917,11882
ENSG00000055950,2792
ENSG00000055955,28
ENSG00000055957,10
ENSG00000056050,1441
ENSG00000056097,7378
ENSG00000056277,473
ENSG00000056291,54
ENSG00000056487,22
ENSG00000056558,1678
ENSG00000056586,4361
ENSG00000056736,443
ENSG00000056972,1964
ENSG00000056998,734
ENSG00000057019,3452
ENSG00000057149,0
ENSG00000057252,5217
ENSG00000057294,771
ENSG00000057468,7
ENSG00000057593,1321
ENSG00000057608,22684
ENSG00000057657,3837
ENSG00000057663,2550
ENSG00000057704,1578
ENSG00000057757,3322
ENSG00000057935,3640
ENSG00000058056,1346
ENSG00000058063,4324
ENSG00000058085,4860
ENSG00000058091,3950
ENSG00000058262,24298
ENSG00000058272,6668
ENSG00000058335,163
ENSG00000058404,67
ENSG00000058453,1134
ENSG00000058600,2248
ENSG00000058668,12054
ENSG00000058673,13073
ENSG00000058729,1899
ENSG00000058799,2310
ENSG00000058804,1538
ENSG00000058866,164
ENSG00000059122,1380
ENSG00000059145,450
ENSG00000059377,1339
ENSG00000059378,2442
ENSG00000059573,8411
ENSG00000059588,2438
ENSG00000059691,1111
ENSG00000059728,1197
ENSG00000059758,4420
ENSG00000059769,881
ENSG00000059804,7155
ENSG00000059915,210
ENSG00000060069,1833
ENSG00000060138,7877
ENSG00000060140,130
ENSG00000060237,19452
ENSG00000060303,0
ENSG00000060339,6007
ENSG00000060491,2220
ENSG00000060558,872
ENSG00000060566,22
ENSG00000060642,1215
ENSG00000060656,1648
ENSG00000060688,2536
ENSG00000060709,28
ENSG00000060718,68316
ENSG00000060749,3027
ENSG00000060762,1726
ENSG00000060971,4011
ENSG00000060982,3453
ENSG00000061273,6716
ENSG00000061337,3213
ENSG00000061455,983
ENSG00000061492,0
ENSG00000061656,241
ENSG00000061676,14498
ENSG00000061794,3577
ENSG00000061918,3622
ENSG00000061936,2857
ENSG00000061938,3186
ENSG00000061987,3556
ENSG00000062038,571
ENSG00000062096,3
ENSG00000062194,8039
ENSG00000062282,749
ENSG00000062370,415
ENSG00000062485,7922
ENSG00000062524,32
ENSG00000062582,27
ENSG00000062598,3820
ENSG00000062650,5814
ENSG00000062716,21315
ENSG00000062725,3555
ENSG00000062822,900
ENSG00000063015,10
ENSG00000063046,22063
ENSG00000063127,65
ENSG00000063169,783
ENSG00000063176,424
ENSG00000063177,30748
ENSG00000063180,279
ENSG00000063241,2136
ENSG00000063244,9121
ENSG00000063245,3956
ENSG00000063322,4628
ENSG00000063438,66
ENSG00000063515,0
ENSG00000063587,2330
ENSG00000063601,1939
ENSG00000063660,6023
ENSG00000063761,519
ENSG00000063854,1843
ENSG00000063978,4573
ENSG00000064012,2313
ENSG00000064042,5907
ENSG00000064102,1791
ENSG00000064115,3681
ENSG00000064195,195
ENSG00000064199,770
ENSG00000064201,91
ENSG00000064205,7052
ENSG00000064218,136
ENSG00000064225,746
ENSG00000064270,368
ENSG00000064300,1806
ENSG00000064309,1211
ENSG00000064313,2399
ENSG00000064393,1769
ENSG00000064419,4423
ENSG00000064489,22
ENSG00000064490,2444
ENSG00000064545,896
ENSG00000064547,804
ENSG00000064601,10038
ENSG00000064607,2696
ENSG00000064651,9357
ENSG00000064652,1059
ENSG00000064655,1314
ENSG00000064666,21040
ENSG00000064687,1107
ENSG00000064692,518
ENSG00000064703,1164
ENSG00000064726,5259
ENSG00000064763,853
ENSG00000064787,4124
ENSG00000064835,0
ENSG00000064886,815
ENSG00000064932,4286
ENSG00000064933,1042
ENSG00000064961,3875
ENSG00000064989,8215
ENSG00000064995,2025
ENSG00000064999,2018
ENSG00000065000,7728
ENSG00000065029,1844
ENSG00000065054,4988
ENSG00000065057,445
ENSG00000065060,1338
ENSG00000065135,8086
ENSG00000065150,8758
ENSG00000065154,10653
ENSG00000065183,2320
ENSG00000065243,2732
ENSG00000065268,817
ENSG00000065308,6648
ENSG00000065320,457
ENSG00000065325,11
ENSG00000065328,249
ENSG00000065357,3274
ENSG00000065361,7093
ENSG00000065371,0
ENSG00000065413,1940
ENSG00000065427,7716
ENSG00000065457,1570
ENSG00000065485,2871
ENSG00000065491,1042
ENSG00000065518,6494
ENSG00000065526,5424
ENSG00000065534,17078
ENSG00000065548,4581
ENSG00000065559,3263
ENSG00000065600,679
ENSG00000065609,34
ENSG00000065613,7724
ENSG00000065615,1568
ENSG00000065618,318
ENSG00000065621,818
ENSG00000065665,443
ENSG00000065675,409
ENSG00000065717,1195
ENSG00000065802,994
ENSG00000065809,10435
ENSG00000065833,311
ENSG00000065882,6773
ENSG00000065883,4386
ENSG00000065911,3462
ENSG00000065923,2329
ENSG00000065970,2929
ENSG00000065978,23236
ENSG00000065989,2983
ENSG00000066027,4825
ENSG00000066032,12
ENSG00000066044,6232
ENSG00000066056,6278
ENSG00000066084,4383
ENSG00000066117,4244
ENSG00000066135,4189
ENSG00000066136,3292
ENSG00000066185,81
ENSG00000066230,7
ENSG00000066248,295
ENSG00000066279,757
ENSG00000066294,2413
ENSG00000066322,5733
ENSG00000066336,2161
ENSG00000066379,960
ENSG00000066382,426
ENSG00000066405,3
ENSG00000066422,2192
ENSG00000066427,2001
ENSG00000066455,5977
ENSG00000066468,1048
ENSG00000066557,1279
ENSG00000066583,2426
ENSG00000066629,2182
ENSG00000066651,845
ENSG00000066654,4981
ENSG00000066697,1525
ENSG00000066735,396
ENSG00000066739,2735
ENSG00000066777,5209
ENSG00000066813,0
ENSG00000066827,694
ENSG00000066855,1314
ENSG00000066923,170
ENSG00000066926,2031
ENSG00000066933,2891
ENSG00000067048,0
ENSG00000067057,2726
ENSG00000067064,3020
ENSG00000067066,7116
ENSG00000067082,24558
ENSG00000067113,4190
ENSG00000067141,4451
ENSG00000067167,19930
ENSG00000067177,555
ENSG00000067182,11304
ENSG00000067191,420
ENSG00000067208,1841
ENSG00000067221,1124
ENSG00000067225,65838
ENSG00000067248,4007
ENSG00000067334,4213
ENSG00000067365,618
ENSG00000067369,3949
ENSG00000067445,1132
ENSG00000067533,1924
ENSG00000067560,47896
ENSG00000067596,4636
ENSG00000067601,124
ENSG00000067606,975
ENSG00000067646,0
ENSG00000067704,9131
ENSG00000067715,422
ENSG00000067798,9910
ENSG00000067829,2978
ENSG00000067836,1764
ENSG00000067840,310
ENSG00000067842,0
ENSG00000067900,6496
ENSG00000067955,5555
ENSG00000067992,897
ENSG00000068001,6289
ENSG00000068024,697
ENSG00000068028,2352
ENSG00000068078,879
ENSG00000068079,3273
ENSG00000068097,1336
ENSG00000068120,3073
ENSG00000068137,1340
