Gene stable ID,24bd1725-7734-4560-9a77-eb73cd5c9ade
ENSG00000000003,2195
ENSG00000000005,75
ENSG00000000419,1919
ENSG00000000457,5900
ENSG00000000460,1453
ENSG00000000938,201
ENSG00000000971,2928
ENSG00000001036,3405
ENSG00000001084,3454
ENSG00000001167,5767
ENSG00000001460,1575
ENSG00000001461,9486
ENSG00000001497,2234
ENSG00000001561,10054
ENSG00000001617,12468
ENSG00000001626,103
ENSG00000001629,9372
ENSG00000001630,545
ENSG00000001631,6398
ENSG00000002016,872
ENSG00000002079,67
ENSG00000002330,755
ENSG00000002549,5472
ENSG00000002586,3438
ENSG00000002587,103
ENSG00000002726,8
ENSG00000002745,2
ENSG00000002746,10
ENSG00000002822,759
ENSG00000002834,20077
ENSG00000002919,1783
ENSG00000002933,411
ENSG00000003056,5738
ENSG00000003096,1067
ENSG00000003137,787
ENSG00000003147,5851
ENSG00000003249,1539
ENSG00000003393,4816
ENSG00000003400,720
ENSG00000003402,2608
ENSG00000003436,1621
ENSG00000003509,990
ENSG00000003756,11763
ENSG00000003987,1509
ENSG00000003989,25812
ENSG00000004059,9761
ENSG00000004139,1102
ENSG00000004142,6093
ENSG00000004399,17657
ENSG00000004455,6242
ENSG00000004468,35
ENSG00000004478,24689
ENSG00000004487,9177
ENSG00000004534,7255
ENSG00000004660,216
ENSG00000004700,1867
ENSG00000004766,7133
ENSG00000004776,1466
ENSG00000004777,1603
ENSG00000004779,2902
ENSG00000004799,10459
ENSG00000004809,5
ENSG00000004838,1244
ENSG00000004846,78
ENSG00000004848,245
ENSG00000004864,3053
ENSG00000004866,1331
ENSG00000004897,7761
ENSG00000004939,0
ENSG00000004948,8
ENSG00000004961,1187
ENSG00000004975,1485
ENSG00000005001,426
ENSG00000005007,6526
ENSG00000005020,4710
ENSG00000005022,9116
ENSG00000005059,547
ENSG00000005073,14
ENSG00000005075,2141
ENSG00000005100,1477
ENSG00000005102,890
ENSG00000005108,692
ENSG00000005156,6500
ENSG00000005175,4029
ENSG00000005187,130
ENSG00000005189,462
ENSG00000005194,1772
ENSG00000005206,2827
ENSG00000005238,832
ENSG00000005243,494
ENSG00000005249,18370
ENSG00000005302,1537
ENSG00000005339,12133
ENSG00000005379,1838
ENSG00000005381,1
ENSG00000005421,51
ENSG00000005436,2523
ENSG00000005448,872
ENSG00000005469,3072
ENSG00000005471,73
ENSG00000005483,21539
ENSG00000005486,17530
ENSG00000005513,23
ENSG00000005700,5769
ENSG00000005801,2087
ENSG00000005810,8089
ENSG00000005812,8872
ENSG00000005844,138
ENSG00000005882,2351
ENSG00000005884,3956
ENSG00000005889,5281
ENSG00000005893,20682
ENSG00000005961,21
ENSG00000005981,271
ENSG00000006007,9070
ENSG00000006015,255
ENSG00000006016,191
ENSG00000006025,132
ENSG00000006042,958
ENSG00000006047,561
ENSG00000006059,2
ENSG00000006062,570
ENSG00000006071,4737
ENSG00000006116,0
ENSG00000006118,5766
ENSG00000006125,40361
ENSG00000006128,93
ENSG00000006194,2411
ENSG00000006210,3266
ENSG00000006282,5503
ENSG00000006283,37
ENSG00000006327,271
ENSG00000006377,11
ENSG00000006432,1203
ENSG00000006451,8261
ENSG00000006453,5277
ENSG00000006459,3226
ENSG00000006468,899
ENSG00000006530,3924
ENSG00000006534,239
ENSG00000006555,73
ENSG00000006576,3858
ENSG00000006606,8
ENSG00000006607,5447
ENSG00000006611,3
ENSG00000006625,8762
ENSG00000006634,1841
ENSG00000006638,123
ENSG00000006652,2277
ENSG00000006659,2
ENSG00000006695,772
ENSG00000006704,4551
ENSG00000006712,2648
ENSG00000006715,13970
ENSG00000006740,261
ENSG00000006744,2034
ENSG00000006747,96
ENSG00000006756,10194
ENSG00000006757,3799
ENSG00000006788,24
ENSG00000006831,9164
ENSG00000006837,157
ENSG00000007001,146
ENSG00000007038,11
ENSG00000007047,3280
ENSG00000007062,515
ENSG00000007080,700
ENSG00000007129,20
ENSG00000007168,13025
ENSG00000007171,89
ENSG00000007174,37
ENSG00000007202,23768
ENSG00000007216,22
ENSG00000007237,2988
ENSG00000007255,1018
ENSG00000007264,6
ENSG00000007306,16
ENSG00000007312,83
ENSG00000007314,219
ENSG00000007341,2616
ENSG00000007350,6
ENSG00000007372,488
ENSG00000007376,722
ENSG00000007384,1585
ENSG00000007392,2421
ENSG00000007402,8068
ENSG00000007516,127
ENSG00000007520,759
ENSG00000007541,2626
ENSG00000007545,2192
ENSG00000007866,1891
ENSG00000007908,458
ENSG00000007923,1937
ENSG00000007933,143
ENSG00000007944,2708
ENSG00000007952,122
ENSG00000007968,411
ENSG00000008018,6779
ENSG00000008056,3693
ENSG00000008083,3626
ENSG00000008086,1861
ENSG00000008118,7
ENSG00000008128,156
ENSG00000008130,2389
ENSG00000008196,14064
ENSG00000008197,0
ENSG00000008226,172
ENSG00000008256,7131
ENSG00000008277,2275
ENSG00000008282,10752
ENSG00000008283,9862
ENSG00000008294,8009
ENSG00000008300,1942
ENSG00000008311,733
ENSG00000008323,368
ENSG00000008324,1007
ENSG00000008382,495
ENSG00000008394,4550
ENSG00000008405,6822
ENSG00000008438,3
ENSG00000008441,2914
ENSG00000008513,23666
ENSG00000008516,1305
ENSG00000008517,527
ENSG00000008710,5398
ENSG00000008735,9372
ENSG00000008838,5165
ENSG00000008853,461
ENSG00000008869,8736
ENSG00000008952,18778
ENSG00000008988,59259
ENSG00000009307,110724
ENSG00000009335,14835
ENSG00000009413,2354
ENSG00000009694,44
ENSG00000009709,11
ENSG00000009724,392
ENSG00000009765,0
ENSG00000009780,1655
ENSG00000009790,123
ENSG00000009830,2316
ENSG00000009844,5368
ENSG00000009950,110
ENSG00000009954,17475
ENSG00000010017,5994
ENSG00000010030,11
ENSG00000010072,909
ENSG00000010165,3382
ENSG00000010219,969
ENSG00000010244,17457
ENSG00000010256,3848
ENSG00000010270,5483
ENSG00000010278,31761
ENSG00000010282,1
ENSG00000010292,4116
ENSG00000010295,208
ENSG00000010310,17
ENSG00000010318,510
ENSG00000010319,1571
ENSG00000010322,8757
ENSG00000010327,1260
ENSG00000010361,1667
ENSG00000010379,50
ENSG00000010404,18968
ENSG00000010438,2
ENSG00000010539,887
ENSG00000010610,885
ENSG00000010626,769
ENSG00000010671,276
ENSG00000010704,643
ENSG00000010803,5778
ENSG00000010810,1780
ENSG00000010818,4310
ENSG00000010932,184
ENSG00000011007,4317
ENSG00000011009,2187
ENSG00000011021,2093
ENSG00000011028,2495
ENSG00000011052,29
ENSG00000011083,4
ENSG00000011105,4991
ENSG00000011114,3454
ENSG00000011132,405
ENSG00000011143,1120
ENSG00000011198,1961
ENSG00000011201,11600
ENSG00000011243,2901
ENSG00000011258,4023
