Gene stable ID,264705e6-0c93-49a3-ad45-b437366a0d0f
ENSG00000000003,2635
ENSG00000000005,0
ENSG00000000419,4248
ENSG00000000457,2694
ENSG00000000460,833
ENSG00000000938,323
ENSG00000000971,1422
ENSG00000001036,5362
ENSG00000001084,7363
ENSG00000001167,4334
ENSG00000001460,907
ENSG00000001461,5539
ENSG00000001497,1587
ENSG00000001561,4034
ENSG00000001617,7190
ENSG00000001626,6
ENSG00000001629,6102
ENSG00000001630,226
ENSG00000001631,3432
ENSG00000002016,424
ENSG00000002079,6
ENSG00000002330,1276
ENSG00000002549,35262
ENSG00000002586,1450
ENSG00000002587,185
ENSG00000002726,11
ENSG00000002745,1
ENSG00000002746,9
ENSG00000002822,446
ENSG00000002834,23467
ENSG00000002919,2963
ENSG00000002933,386
ENSG00000003056,4745
ENSG00000003096,219
ENSG00000003137,93
ENSG00000003147,4714
ENSG00000003249,1843
ENSG00000003393,2998
ENSG00000003400,334
ENSG00000003402,4681
ENSG00000003436,540
ENSG00000003509,801
ENSG00000003756,4381
ENSG00000003987,298
ENSG00000003989,32727
ENSG00000004059,6541
ENSG00000004139,131
ENSG00000004142,8930
ENSG00000004399,4624
ENSG00000004455,12193
ENSG00000004468,281
ENSG00000004478,33012
ENSG00000004487,7661
ENSG00000004534,2091
ENSG00000004660,116
ENSG00000004700,1005
ENSG00000004766,4862
ENSG00000004776,84
ENSG00000004777,661
ENSG00000004779,6525
ENSG00000004799,1036
ENSG00000004809,11
ENSG00000004838,488
ENSG00000004846,1
ENSG00000004848,0
ENSG00000004864,1947
ENSG00000004866,2630
ENSG00000004897,13116
ENSG00000004939,1
ENSG00000004948,4
ENSG00000004961,2460
ENSG00000004975,1013
ENSG00000005001,350
ENSG00000005007,4009
ENSG00000005020,2837
ENSG00000005022,13299
ENSG00000005059,3837
ENSG00000005073,3
ENSG00000005075,2013
ENSG00000005100,1172
ENSG00000005102,9
ENSG00000005108,57
ENSG00000005156,4436
ENSG00000005175,5188
ENSG00000005187,70
ENSG00000005189,943
ENSG00000005194,1730
ENSG00000005206,1494
ENSG00000005238,3596
ENSG00000005243,170
ENSG00000005249,3704
ENSG00000005302,1387
ENSG00000005339,6600
ENSG00000005379,132
ENSG00000005381,14
ENSG00000005421,0
ENSG00000005436,2506
ENSG00000005448,1063
ENSG00000005469,2145
ENSG00000005471,48
ENSG00000005483,6201
ENSG00000005486,9564
ENSG00000005513,10
ENSG00000005700,5510
ENSG00000005801,1711
ENSG00000005810,3302
ENSG00000005812,7325
ENSG00000005844,1844
ENSG00000005882,2868
ENSG00000005884,4136
ENSG00000005889,5717
ENSG00000005893,29419
ENSG00000005961,3
ENSG00000005981,3
ENSG00000006007,17097
ENSG00000006015,337
ENSG00000006016,46
ENSG00000006025,700
ENSG00000006042,346
ENSG00000006047,806
ENSG00000006059,0
ENSG00000006062,450
ENSG00000006071,2608
ENSG00000006116,0
ENSG00000006118,458
ENSG00000006125,47462
ENSG00000006128,0
ENSG00000006194,2595
ENSG00000006210,477
ENSG00000006282,3323
ENSG00000006283,20
ENSG00000006327,891
ENSG00000006377,3
ENSG00000006432,1434
ENSG00000006451,6541
ENSG00000006453,2863
ENSG00000006459,2178
ENSG00000006468,541
ENSG00000006530,1660
ENSG00000006534,1775
ENSG00000006555,388
ENSG00000006576,2495
ENSG00000006606,7
ENSG00000006607,2218
ENSG00000006611,7
ENSG00000006625,5131
ENSG00000006634,977
ENSG00000006638,62
ENSG00000006652,1888
ENSG00000006659,5
ENSG00000006695,685
ENSG00000006704,2062
ENSG00000006712,3176
ENSG00000006715,6158
ENSG00000006740,49
ENSG00000006744,1657
ENSG00000006747,253
ENSG00000006756,5993
ENSG00000006757,2293
ENSG00000006788,1
ENSG00000006831,42072
ENSG00000006837,158
ENSG00000007001,16
ENSG00000007038,12
ENSG00000007047,1941
ENSG00000007062,875
ENSG00000007080,567
ENSG00000007129,18
ENSG00000007168,7403
ENSG00000007171,8
ENSG00000007174,0
ENSG00000007202,10610
ENSG00000007216,301
ENSG00000007237,424
ENSG00000007255,963
ENSG00000007264,14
ENSG00000007306,3
ENSG00000007312,14
ENSG00000007314,21
ENSG00000007341,946
ENSG00000007350,2
ENSG00000007372,122
ENSG00000007376,1369
ENSG00000007384,3618
ENSG00000007392,1681
ENSG00000007402,237
ENSG00000007516,617
ENSG00000007520,747
ENSG00000007541,4217
ENSG00000007545,2374
ENSG00000007866,1463
ENSG00000007908,12
ENSG00000007923,1148
ENSG00000007933,70
ENSG00000007944,4468
ENSG00000007952,184
ENSG00000007968,682
ENSG00000008018,11203
ENSG00000008056,31
ENSG00000008083,3109
ENSG00000008086,733
ENSG00000008118,49
ENSG00000008128,151
ENSG00000008130,3428
ENSG00000008196,26
ENSG00000008197,0
ENSG00000008226,35
ENSG00000008256,387
ENSG00000008277,441
ENSG00000008282,21870
ENSG00000008283,11820
ENSG00000008294,7699
ENSG00000008300,841
ENSG00000008311,248
ENSG00000008323,507
ENSG00000008324,1874
ENSG00000008382,538
ENSG00000008394,29849
ENSG00000008405,3281
ENSG00000008438,0
ENSG00000008441,4398
