Gene stable ID,928576d3-f95f-408e-be76-efdb4ca64e76
ENSG00000000003,2855
ENSG00000000005,6
ENSG00000000419,1632
ENSG00000000457,1444
ENSG00000000460,446
ENSG00000000938,977
ENSG00000000971,2185
ENSG00000001036,3189
ENSG00000001084,3626
ENSG00000001167,2391
ENSG00000001460,439
ENSG00000001461,1333
ENSG00000001497,3744
ENSG00000001561,1432
ENSG00000001617,7505
ENSG00000001626,2
ENSG00000001629,2729
ENSG00000001630,154
ENSG00000001631,1286
ENSG00000002016,228
ENSG00000002079,6
ENSG00000002330,3285
ENSG00000002549,5251
ENSG00000002586,8560
ENSG00000002587,226
ENSG00000002726,56
ENSG00000002745,2
ENSG00000002746,47
ENSG00000002822,1692
ENSG00000002834,25495
ENSG00000002919,1367
ENSG00000002933,3030
ENSG00000003056,2386
ENSG00000003096,163
ENSG00000003137,277
ENSG00000003147,1812
ENSG00000003249,1039
ENSG00000003393,1246
ENSG00000003400,405
ENSG00000003402,3866
ENSG00000003436,282
ENSG00000003509,598
ENSG00000003756,3182
ENSG00000003987,47
ENSG00000003989,7785
ENSG00000004059,8960
ENSG00000004139,317
ENSG00000004142,5822
ENSG00000004399,4421
ENSG00000004455,4037
ENSG00000004468,650
ENSG00000004478,24380
ENSG00000004487,3141
ENSG00000004534,3265
ENSG00000004660,573
ENSG00000004700,691
ENSG00000004766,1086
ENSG00000004776,243
ENSG00000004777,508
ENSG00000004779,2345
ENSG00000004799,433
ENSG00000004809,1
ENSG00000004838,430
ENSG00000004846,2
ENSG00000004848,13
ENSG00000004864,1183
ENSG00000004866,1690
ENSG00000004897,4223
ENSG00000004939,1
ENSG00000004948,9
ENSG00000004961,1034
ENSG00000004975,1094
ENSG00000005001,455
ENSG00000005007,6575
ENSG00000005020,1431
ENSG00000005022,8205
ENSG00000005059,1480
ENSG00000005073,26
ENSG00000005075,3325
ENSG00000005100,787
ENSG00000005102,92
ENSG00000005108,42
ENSG00000005156,2957
ENSG00000005175,1503
ENSG00000005187,143
ENSG00000005189,459
ENSG00000005194,1309
ENSG00000005206,2640
ENSG00000005238,1420
ENSG00000005243,1102
ENSG00000005249,3500
ENSG00000005302,908
ENSG00000005339,4837
ENSG00000005379,1244
ENSG00000005381,6
ENSG00000005421,5
ENSG00000005436,1180
ENSG00000005448,438
ENSG00000005469,1639
ENSG00000005471,63
ENSG00000005483,4116
ENSG00000005486,5212
ENSG00000005513,19
ENSG00000005700,2205
ENSG00000005801,1916
ENSG00000005810,1579
ENSG00000005812,1747
ENSG00000005844,2153
ENSG00000005882,1300
ENSG00000005884,4237
ENSG00000005889,3621
ENSG00000005893,9882
ENSG00000005961,122
ENSG00000005981,0
ENSG00000006007,3311
ENSG00000006015,1060
ENSG00000006016,175
ENSG00000006025,392
ENSG00000006042,6835
ENSG00000006047,431
ENSG00000006059,118
ENSG00000006062,925
ENSG00000006071,70
ENSG00000006116,2
ENSG00000006118,10897
ENSG00000006125,22283
ENSG00000006128,3
ENSG00000006194,2341
ENSG00000006210,1749
ENSG00000006282,5009
ENSG00000006283,80
ENSG00000006327,3603
ENSG00000006377,1
ENSG00000006432,425
ENSG00000006451,4247
ENSG00000006453,1075
ENSG00000006459,1326
ENSG00000006468,723
ENSG00000006530,2123
ENSG00000006534,1324
ENSG00000006555,169
ENSG00000006576,1640
ENSG00000006606,16
ENSG00000006607,1194
ENSG00000006611,9
ENSG00000006625,4064
ENSG00000006634,791
ENSG00000006638,112
ENSG00000006652,855
ENSG00000006659,0
ENSG00000006695,630
ENSG00000006704,2058
ENSG00000006712,4564
ENSG00000006715,2884
ENSG00000006740,163
ENSG00000006744,2008
ENSG00000006747,152
ENSG00000006756,4149
ENSG00000006757,1335
ENSG00000006788,39
ENSG00000006831,13699
ENSG00000006837,36
ENSG00000007001,18
ENSG00000007038,280
ENSG00000007047,3191
ENSG00000007062,115
ENSG00000007080,4110
ENSG00000007129,103
ENSG00000007168,3748
ENSG00000007171,12
ENSG00000007174,5
ENSG00000007202,4162
ENSG00000007216,23
ENSG00000007237,1392
ENSG00000007255,2412
ENSG00000007264,214
ENSG00000007306,9
ENSG00000007312,415
ENSG00000007314,12
ENSG00000007341,852
ENSG00000007350,2
ENSG00000007372,84
ENSG00000007376,1873
ENSG00000007384,3178
ENSG00000007392,2753
ENSG00000007402,1436
ENSG00000007516,952
ENSG00000007520,2513
ENSG00000007541,3428
ENSG00000007545,909
ENSG00000007866,1916
ENSG00000007908,617
ENSG00000007923,638
ENSG00000007933,270
ENSG00000007944,6549
ENSG00000007952,197
ENSG00000007968,328
ENSG00000008018,5513
ENSG00000008056,101
ENSG00000008083,2124
ENSG00000008086,637
ENSG00000008118,13
ENSG00000008128,192
ENSG00000008130,1470
ENSG00000008196,69
ENSG00000008197,0
ENSG00000008226,28
ENSG00000008256,958
ENSG00000008277,180
ENSG00000008282,4687
ENSG00000008283,9415
ENSG00000008294,3556
ENSG00000008300,483
ENSG00000008311,82
ENSG00000008323,359
ENSG00000008324,1132
ENSG00000008382,1078
ENSG00000008394,7700
ENSG00000008405,1031
ENSG00000008438,2
ENSG00000008441,4308
ENSG00000008513,6757
ENSG00000008516,157
ENSG00000008517,8365
ENSG00000008710,1769
ENSG00000008735,1623
ENSG00000008838,5788
ENSG00000008853,1204
ENSG00000008869,2100
ENSG00000008952,12241
ENSG00000008988,33662
ENSG00000009307,19781
ENSG00000009335,3868
ENSG00000009413,428
ENSG00000009694,48
ENSG00000009709,0
ENSG00000009724,20
ENSG00000009765,54
ENSG00000009780,430
ENSG00000009790,538
ENSG00000009830,570
ENSG00000009844,1850
ENSG00000009950,37
ENSG00000009954,5298
ENSG00000010017,4554
ENSG00000010030,432
ENSG00000010072,694
ENSG00000010165,2618
ENSG00000010219,1165
ENSG00000010244,8039
ENSG00000010256,7753
ENSG00000010270,1358
ENSG00000010278,6577
ENSG00000010282,1
ENSG00000010292,3234
ENSG00000010295,696
ENSG00000010310,61
ENSG00000010318,198
ENSG00000010319,1730
ENSG00000010322,3378
ENSG00000010327,2144
ENSG00000010361,1038
ENSG00000010379,1
ENSG00000010404,3886
ENSG00000010438,1
ENSG00000010539,467
ENSG00000010610,7176
ENSG00000010626,471
ENSG00000010671,726
ENSG00000010704,592
ENSG00000010803,2727
ENSG00000010810,1579
ENSG00000010818,1050
ENSG00000010932,604
ENSG00000011007,2118
ENSG00000011009,2368
ENSG00000011021,448
ENSG00000011028,8882
ENSG00000011052,38
ENSG00000011083,5
ENSG00000011105,4037
ENSG00000011114,1428
ENSG00000011132,664
ENSG00000011143,1365
ENSG00000011198,1126
ENSG00000011201,2198
ENSG00000011243,2676
ENSG00000011258,1734
ENSG00000011260,2227
ENSG00000011275,2592
ENSG00000011295,1767
ENSG00000011304,15660
ENSG00000011332,14
ENSG00000011347,6361
ENSG00000011376,1287
ENSG00000011405,1898
ENSG00000011422,3429
ENSG00000011426,2207
ENSG00000011451,4484
ENSG00000011454,3358
ENSG00000011465,21737
ENSG00000011478,638
ENSG00000011485,3159
ENSG00000011523,1663
ENSG00000011566,2336
ENSG00000011590,47
ENSG00000011600,7637
ENSG00000011638,2037
ENSG00000011677,292
ENSG00000012048,1297
ENSG00000012061,3736
ENSG00000012124,569
ENSG00000012171,2787
ENSG00000012174,1631
ENSG00000012211,539
ENSG00000012223,2744
ENSG00000012232,1480
ENSG00000012504,0
ENSG00000012660,11775
ENSG00000012779,1707
ENSG00000012817,0
ENSG00000012822,2608
ENSG00000012963,3870
ENSG00000012983,2796
ENSG00000013016,997
ENSG00000013275,4566
ENSG00000013288,4386
ENSG00000013293,0
ENSG00000013297,247
ENSG00000013306,13204
ENSG00000013364,11042
ENSG00000013374,3809
ENSG00000013375,1468
ENSG00000013392,369
ENSG00000013441,3457
ENSG00000013503,546
ENSG00000013523,548
ENSG00000013561,2230
ENSG00000013563,700
ENSG00000013573,835
ENSG00000013583,11175
ENSG00000013588,37256
ENSG00000013619,122
ENSG00000013725,809
ENSG00000013810,4538
ENSG00000014123,1683
ENSG00000014138,1675
ENSG00000014164,3004
ENSG00000014216,12259
ENSG00000014257,89
ENSG00000014641,7108
ENSG00000014824,3486
ENSG00000014914,549
ENSG00000014919,1992
ENSG00000015133,3663
ENSG00000015153,871
ENSG00000015171,3105
ENSG00000015285,1300
ENSG00000015413,41
ENSG00000015475,1781
ENSG00000015479,137
ENSG00000015520,25
ENSG00000015532,3552
ENSG00000015568,1
ENSG00000015592,6
ENSG00000015676,4559
ENSG00000016082,13
ENSG00000016391,1653
ENSG00000016402,137
ENSG00000016490,0
ENSG00000016602,3
ENSG00000016864,3417
ENSG00000017260,6589
ENSG00000017427,36
ENSG00000017483,630
ENSG00000017797,5077
ENSG00000018189,1743
ENSG00000018236,236
ENSG00000018280,412
ENSG00000018408,2644
ENSG00000018510,1745
ENSG00000018607,1
ENSG00000018610,2017
ENSG00000018625,37
ENSG00000018699,1249
ENSG00000018869,147
ENSG00000019102,27
ENSG00000019144,2335
ENSG00000019169,232
ENSG00000019186,9
ENSG00000019485,293
ENSG00000019505,26
ENSG00000019549,926
ENSG00000019582,297211
ENSG00000019991,120
ENSG00000019995,514
ENSG00000020129,1872
ENSG00000020181,789
ENSG00000020219,0
ENSG00000020256,1084
ENSG00000020426,1588
ENSG00000020577,419
ENSG00000020633,1294
ENSG00000020922,948
ENSG00000021300,1361
ENSG00000021355,3286
ENSG00000021461,1
ENSG00000021488,12
ENSG00000021574,1205
ENSG00000021645,28
ENSG00000021762,2504
ENSG00000021776,1925
ENSG00000021826,571
ENSG00000021852,1
ENSG00000022267,1008
ENSG00000022277,5609
ENSG00000022355,0
ENSG00000022556,1394
ENSG00000022567,146
ENSG00000022840,10355
ENSG00000022976,546
ENSG00000023041,3610
ENSG00000023171,122
ENSG00000023191,11035
ENSG00000023228,3866
ENSG00000023287,3162
ENSG00000023318,4391
ENSG00000023330,2378
ENSG00000023445,1127
ENSG00000023516,1290
ENSG00000023572,400
ENSG00000023608,406
ENSG00000023697,1053
ENSG00000023734,5302
ENSG00000023839,14
ENSG00000023892,2070
ENSG00000023902,5565
ENSG00000023909,713
ENSG00000024048,2887
ENSG00000024422,5199
ENSG00000024526,842
ENSG00000024862,1658
ENSG00000025039,341
ENSG00000025156,1129
ENSG00000025293,2961
ENSG00000025423,272
ENSG00000025434,1635
ENSG00000025708,6943
ENSG00000025770,2788
ENSG00000025772,2271
ENSG00000025796,4328
ENSG00000025800,2497
ENSG00000026025,57948
ENSG00000026036,125
ENSG00000026103,638
ENSG00000026297,2828
ENSG00000026508,37392
ENSG00000026559,5
