Gene stable ID,d86f17a9-0ee2-4bd1-993d-f23ba7fe3a26
ENSG00000000003,6394
ENSG00000000005,11
ENSG00000000419,5075
ENSG00000000457,1470
ENSG00000000460,2267
ENSG00000000938,472
ENSG00000000971,1434
ENSG00000001036,4394
ENSG00000001084,5588
ENSG00000001167,5718
ENSG00000001460,594
ENSG00000001461,5444
ENSG00000001497,4781
ENSG00000001561,1725
ENSG00000001617,1617
ENSG00000001626,15
ENSG00000001629,5764
ENSG00000001630,273
ENSG00000001631,2940
ENSG00000002016,374
ENSG00000002079,7
ENSG00000002330,1171
ENSG00000002549,6138
ENSG00000002586,2893
ENSG00000002587,582
ENSG00000002726,213
ENSG00000002745,6
ENSG00000002746,80
ENSG00000002822,722
ENSG00000002834,8717
ENSG00000002919,2327
ENSG00000002933,779
ENSG00000003056,5895
ENSG00000003096,251
ENSG00000003137,590
ENSG00000003147,1920
ENSG00000003249,2052
ENSG00000003393,4324
ENSG00000003400,331
ENSG00000003402,26035
ENSG00000003436,1088
ENSG00000003509,1566
ENSG00000003756,3298
ENSG00000003987,290
ENSG00000003989,221
ENSG00000004059,11995
ENSG00000004139,174
ENSG00000004142,6204
ENSG00000004399,10037
ENSG00000004455,7913
ENSG00000004468,78
ENSG00000004478,9981
ENSG00000004487,10409
ENSG00000004534,3576
ENSG00000004660,1019
ENSG00000004700,2262
ENSG00000004766,3498
ENSG00000004776,466
ENSG00000004777,997
ENSG00000004779,6100
ENSG00000004799,1824
ENSG00000004809,13
ENSG00000004838,24
ENSG00000004846,1
ENSG00000004848,1
ENSG00000004864,6366
ENSG00000004866,4847
ENSG00000004897,5657
ENSG00000004939,5
ENSG00000004948,1
ENSG00000004961,4181
ENSG00000004975,1239
ENSG00000005001,469
ENSG00000005007,8955
ENSG00000005020,1228
ENSG00000005022,20334
ENSG00000005059,2267
ENSG00000005073,47
ENSG00000005075,3468
ENSG00000005100,4651
ENSG00000005102,116
ENSG00000005108,270
ENSG00000005156,2932
ENSG00000005175,3696
ENSG00000005187,368
ENSG00000005189,854
ENSG00000005194,4543
ENSG00000005206,1371
ENSG00000005238,1377
ENSG00000005243,268
ENSG00000005249,12369
ENSG00000005302,5561
ENSG00000005339,12531
ENSG00000005379,2438
ENSG00000005381,32
ENSG00000005421,16
ENSG00000005436,2254
ENSG00000005448,170
ENSG00000005469,672
ENSG00000005471,60
ENSG00000005483,11977
ENSG00000005486,6795
ENSG00000005513,2111
ENSG00000005700,6205
ENSG00000005801,1402
ENSG00000005810,8358
ENSG00000005812,4314
ENSG00000005844,603
ENSG00000005882,1053
ENSG00000005884,1045
ENSG00000005889,3682
ENSG00000005893,16708
ENSG00000005961,3
ENSG00000005981,84
ENSG00000006007,6864
ENSG00000006015,420
ENSG00000006016,137
ENSG00000006025,332
ENSG00000006042,272
ENSG00000006047,367
ENSG00000006059,0
ENSG00000006062,961
ENSG00000006071,1
ENSG00000006116,1
ENSG00000006118,11262
ENSG00000006125,25112
ENSG00000006128,1
ENSG00000006194,2893
ENSG00000006210,37812
ENSG00000006282,1299
ENSG00000006283,55
ENSG00000006327,1574
ENSG00000006377,38
ENSG00000006432,1645
ENSG00000006451,5861
ENSG00000006453,4498
ENSG00000006459,4033
ENSG00000006468,341
ENSG00000006530,4357
ENSG00000006534,818
ENSG00000006555,2409
ENSG00000006576,4730
ENSG00000006606,18
ENSG00000006607,4910
ENSG00000006611,27
ENSG00000006625,4807
ENSG00000006634,3374
ENSG00000006638,84
ENSG00000006652,16608
ENSG00000006659,0
ENSG00000006695,2332
ENSG00000006704,1817
ENSG00000006712,2805
ENSG00000006715,3048
ENSG00000006740,94
ENSG00000006744,5424
ENSG00000006747,191
ENSG00000006756,3424
ENSG00000006757,1105
ENSG00000006788,9
ENSG00000006831,4975
ENSG00000006837,92
ENSG00000007001,5
ENSG00000007038,5
ENSG00000007047,3443
ENSG00000007062,38911
ENSG00000007080,1756
