Gene stable ID,59039d34-ce63-4876-821f-aa33c54e1eb5
ENSG00000000003,5436
ENSG00000000005,2
ENSG00000000419,2967
ENSG00000000457,2248
ENSG00000000460,648
ENSG00000000938,349
ENSG00000000971,1637
ENSG00000001036,6407
ENSG00000001084,3870
ENSG00000001167,4541
ENSG00000001460,750
ENSG00000001461,3773
ENSG00000001497,4625
ENSG00000001561,7065
ENSG00000001617,10754
ENSG00000001626,2
ENSG00000001629,8947
ENSG00000001630,434
ENSG00000001631,3464
ENSG00000002016,492
ENSG00000002079,25
ENSG00000002330,4226
ENSG00000002549,7848
ENSG00000002586,6966
ENSG00000002587,79
ENSG00000002726,54
ENSG00000002745,6
ENSG00000002746,24
ENSG00000002822,1524
ENSG00000002834,63690
ENSG00000002919,1328
ENSG00000002933,1243
ENSG00000003056,9974
ENSG00000003096,67
ENSG00000003137,115
ENSG00000003147,5974
ENSG00000003249,3691
ENSG00000003393,2176
ENSG00000003400,523
ENSG00000003402,3674
ENSG00000003436,342
ENSG00000003509,912
ENSG00000003756,4981
ENSG00000003987,1106
ENSG00000003989,103185
ENSG00000004059,9085
ENSG00000004139,948
ENSG00000004142,4826
ENSG00000004399,8670
ENSG00000004455,12924
ENSG00000004468,587
ENSG00000004478,61003
ENSG00000004487,6096
ENSG00000004534,3796
ENSG00000004660,716
ENSG00000004700,2839
ENSG00000004766,2955
ENSG00000004776,69
ENSG00000004777,1536
ENSG00000004779,3704
ENSG00000004799,1153
ENSG00000004809,2
ENSG00000004838,1367
ENSG00000004846,12
ENSG00000004848,3
ENSG00000004864,1192
ENSG00000004866,2881
ENSG00000004897,4626
ENSG00000004939,9
ENSG00000004948,71
ENSG00000004961,1908
ENSG00000004975,1011
ENSG00000005001,1078
ENSG00000005007,12846
ENSG00000005020,2219
ENSG00000005022,13302
ENSG00000005059,735
ENSG00000005073,13
ENSG00000005075,1373
ENSG00000005100,1295
ENSG00000005102,54
ENSG00000005108,126
ENSG00000005156,4212
ENSG00000005175,3438
ENSG00000005187,130
ENSG00000005189,691
ENSG00000005194,2005
ENSG00000005206,2625
ENSG00000005238,1556
ENSG00000005243,233
ENSG00000005249,6501
ENSG00000005302,1408
ENSG00000005339,9192
ENSG00000005379,2136
ENSG00000005381,6
ENSG00000005421,108
ENSG00000005436,1641
ENSG00000005448,1576
ENSG00000005469,1223
ENSG00000005471,245
ENSG00000005483,12032
ENSG00000005486,9706
ENSG00000005513,14
ENSG00000005700,10651
ENSG00000005801,2615
ENSG00000005810,7328
ENSG00000005812,5178
ENSG00000005844,2185
ENSG00000005882,793
ENSG00000005884,4319
ENSG00000005889,4989
ENSG00000005893,18318
ENSG00000005961,16
ENSG00000005981,2
ENSG00000006007,6371
ENSG00000006015,725
ENSG00000006016,47
ENSG00000006025,691
ENSG00000006042,646
ENSG00000006047,149
ENSG00000006059,24
ENSG00000006062,875
ENSG00000006071,2567
ENSG00000006116,1
ENSG00000006118,1275
ENSG00000006125,75067
ENSG00000006128,0
ENSG00000006194,3162
ENSG00000006210,1078
ENSG00000006282,10288
ENSG00000006283,13
ENSG00000006327,643
ENSG00000006377,0
ENSG00000006432,1607
ENSG00000006451,7664
ENSG00000006453,2055
ENSG00000006459,1970
ENSG00000006468,658
ENSG00000006530,2422
ENSG00000006534,661
ENSG00000006555,71
ENSG00000006576,3142
ENSG00000006606,11
ENSG00000006607,3244
ENSG00000006611,1
ENSG00000006625,1995
ENSG00000006634,845
ENSG00000006638,125
