Gene stable ID,002c7ead-0e16-4a3f-ae29-5ffcfdcd2e3a
ENSG00000000003,5224
ENSG00000000005,1
ENSG00000000419,3995
ENSG00000000457,939
ENSG00000000460,1662
ENSG00000000938,655
ENSG00000000971,1658
ENSG00000001036,8531
ENSG00000001084,2691
ENSG00000001167,4604
ENSG00000001460,1316
ENSG00000001461,5608
ENSG00000001497,7817
ENSG00000001561,2001
ENSG00000001617,915
ENSG00000001626,1
ENSG00000001629,3566
ENSG00000001630,347
ENSG00000001631,1739
ENSG00000002016,917
ENSG00000002079,19
ENSG00000002330,2029
ENSG00000002549,6712
ENSG00000002586,13618
ENSG00000002587,584
ENSG00000002726,127
ENSG00000002745,12
ENSG00000002746,36
ENSG00000002822,1373
ENSG00000002834,12412
ENSG00000002919,2260
ENSG00000002933,1532
ENSG00000003056,8481
ENSG00000003096,574
ENSG00000003137,506
ENSG00000003147,5073
ENSG00000003249,5800
ENSG00000003393,5124
ENSG00000003400,347
ENSG00000003402,8740
ENSG00000003436,676
ENSG00000003509,851
ENSG00000003756,3710
ENSG00000003987,302
ENSG00000003989,677
ENSG00000004059,19500
ENSG00000004139,789
ENSG00000004142,13972
ENSG00000004399,4939
ENSG00000004455,13490
ENSG00000004468,454
ENSG00000004478,25845
ENSG00000004487,17580
ENSG00000004534,3872
ENSG00000004660,583
ENSG00000004700,3795
ENSG00000004766,1127
ENSG00000004776,67
ENSG00000004777,1285
ENSG00000004779,3114
ENSG00000004799,208
ENSG00000004809,44
ENSG00000004838,58
ENSG00000004846,1
ENSG00000004848,7
ENSG00000004864,2687
ENSG00000004866,1401
ENSG00000004897,10183
ENSG00000004939,2
ENSG00000004948,0
ENSG00000004961,2529
ENSG00000004975,2197
ENSG00000005001,427
ENSG00000005007,7641
ENSG00000005020,2934
ENSG00000005022,40255
ENSG00000005059,1829
ENSG00000005073,15
ENSG00000005075,1837
ENSG00000005100,2633
ENSG00000005102,109
ENSG00000005108,199
ENSG00000005156,3216
ENSG00000005175,2530
ENSG00000005187,75
ENSG00000005189,579
ENSG00000005194,7325
ENSG00000005206,2147
ENSG00000005238,1116
ENSG00000005243,867
ENSG00000005249,1996
ENSG00000005302,3993
ENSG00000005339,6736
ENSG00000005379,1294
ENSG00000005381,22
ENSG00000005421,3
ENSG00000005436,2462
ENSG00000005448,2662
ENSG00000005469,749
ENSG00000005471,75
ENSG00000005483,3076
ENSG00000005486,11195
ENSG00000005513,1985
ENSG00000005700,4195
ENSG00000005801,1972
ENSG00000005810,3161
ENSG00000005812,2600
ENSG00000005844,1205
ENSG00000005882,1924
ENSG00000005884,4466
ENSG00000005889,4036
ENSG00000005893,21176
ENSG00000005961,86
ENSG00000005981,10
ENSG00000006007,3861
ENSG00000006015,720
ENSG00000006016,227
ENSG00000006025,309
ENSG00000006042,1997
ENSG00000006047,386
ENSG00000006059,0
ENSG00000006062,1163
ENSG00000006071,1
ENSG00000006116,1
ENSG00000006118,8660
ENSG00000006125,15478
ENSG00000006128,2
ENSG00000006194,2492
ENSG00000006210,9014
ENSG00000006282,3530
ENSG00000006283,13
ENSG00000006327,5916
ENSG00000006377,249
ENSG00000006432,2339
ENSG00000006451,6688
ENSG00000006453,3441
ENSG00000006459,1882
ENSG00000006468,731
ENSG00000006530,2706
ENSG00000006534,1644
ENSG00000006555,1094
ENSG00000006576,3495
ENSG00000006606,50
ENSG00000006607,2826
ENSG00000006611,30
ENSG00000006625,6093
ENSG00000006634,2417
ENSG00000006638,92
ENSG00000006652,4279
ENSG00000006659,0
ENSG00000006695,1150
ENSG00000006704,1852
ENSG00000006712,3487
ENSG00000006715,4019
ENSG00000006740,144
ENSG00000006744,5168
ENSG00000006747,203
ENSG00000006756,7308
ENSG00000006757,2857
ENSG00000006788,3
ENSG00000006831,9313
ENSG00000006837,57
ENSG00000007001,1
ENSG00000007038,364
ENSG00000007047,1488
ENSG00000007062,6103
ENSG00000007080,2380
ENSG00000007129,76
ENSG00000007168,7628
ENSG00000007171,30
ENSG00000007174,7
ENSG00000007202,27865
ENSG00000007216,125
ENSG00000007237,746
ENSG00000007255,1767
ENSG00000007264,208
ENSG00000007306,0
ENSG00000007312,326
ENSG00000007314,23
ENSG00000007341,915
ENSG00000007350,3
ENSG00000007372,187
ENSG00000007376,2387
ENSG00000007384,4281
