Gene stable ID,affc9103-0974-4228-8a8b-544eb40ab697
ENSG00000000003,1696
ENSG00000000005,22
ENSG00000000419,1502
ENSG00000000457,1598
ENSG00000000460,309
ENSG00000000938,2267
ENSG00000000971,4868
ENSG00000001036,4775
ENSG00000001084,2304
ENSG00000001167,1280
ENSG00000001460,978
ENSG00000001461,2467
ENSG00000001497,1841
ENSG00000001561,1848
ENSG00000001617,2411
ENSG00000001626,87
ENSG00000001629,4647
ENSG00000001630,385
ENSG00000001631,1873
ENSG00000002016,371
ENSG00000002079,8
ENSG00000002330,1815
ENSG00000002549,4970
ENSG00000002586,12964
ENSG00000002587,883
ENSG00000002726,71
ENSG00000002745,5
ENSG00000002746,12
ENSG00000002822,1270
ENSG00000002834,23029
ENSG00000002919,1062
ENSG00000002933,1610
ENSG00000003056,3737
ENSG00000003096,350
ENSG00000003137,506
ENSG00000003147,1495
ENSG00000003249,1116
ENSG00000003393,1643
ENSG00000003400,1419
ENSG00000003402,5790
ENSG00000003436,8742
ENSG00000003509,443
ENSG00000003756,3125
ENSG00000003987,33
ENSG00000003989,4304
ENSG00000004059,7422
ENSG00000004139,135
ENSG00000004142,3000
ENSG00000004399,8897
ENSG00000004455,5158
ENSG00000004468,152
ENSG00000004478,33768
ENSG00000004487,4494
ENSG00000004534,2361
ENSG00000004660,278
ENSG00000004700,1769
ENSG00000004766,1640
ENSG00000004776,131
ENSG00000004777,579
ENSG00000004779,2140
ENSG00000004799,3111
ENSG00000004809,2
ENSG00000004838,2340
ENSG00000004846,4
ENSG00000004848,200
ENSG00000004864,1377
ENSG00000004866,1686
ENSG00000004897,2283
ENSG00000004939,1
ENSG00000004948,20
ENSG00000004961,1230
ENSG00000004975,932
ENSG00000005001,811
ENSG00000005007,8303
ENSG00000005020,1213
ENSG00000005022,11411
ENSG00000005059,694
ENSG00000005073,59
ENSG00000005075,1352
ENSG00000005100,644
ENSG00000005102,81
ENSG00000005108,163
ENSG00000005156,1270
ENSG00000005175,1869
ENSG00000005187,46
ENSG00000005189,266
ENSG00000005194,1389
ENSG00000005206,1971
ENSG00000005238,946
ENSG00000005243,1123
ENSG00000005249,1355
ENSG00000005302,1555
ENSG00000005339,4896
ENSG00000005379,292
ENSG00000005381,5
ENSG00000005421,16
ENSG00000005436,1186
ENSG00000005448,1260
ENSG00000005469,2562
ENSG00000005471,178
ENSG00000005483,4251
ENSG00000005486,8411
ENSG00000005513,18
ENSG00000005700,5551
ENSG00000005801,910
ENSG00000005810,2721
ENSG00000005812,2205
ENSG00000005844,1709
ENSG00000005882,975
ENSG00000005884,1833
ENSG00000005889,2661
ENSG00000005893,19594
ENSG00000005961,41
ENSG00000005981,51
ENSG00000006007,7878
ENSG00000006015,421
ENSG00000006016,103
ENSG00000006025,453
ENSG00000006042,1272
ENSG00000006047,360
ENSG00000006059,1
ENSG00000006062,632
ENSG00000006071,182
ENSG00000006116,0
ENSG00000006118,2285
ENSG00000006125,15604
ENSG00000006128,2
ENSG00000006194,1524
ENSG00000006210,899
ENSG00000006282,1890
ENSG00000006283,131
ENSG00000006327,1732
ENSG00000006377,2
ENSG00000006432,853
ENSG00000006451,4030
ENSG00000006453,1386
ENSG00000006459,3296
ENSG00000006468,973
ENSG00000006530,1251
ENSG00000006534,698
ENSG00000006555,84
ENSG00000006576,1465
ENSG00000006606,11
ENSG00000006607,3609
ENSG00000006611,1
ENSG00000006625,3543
ENSG00000006634,471
ENSG00000006638,110
ENSG00000006652,4429
ENSG00000006659,0
ENSG00000006695,554
ENSG00000006704,1996
ENSG00000006712,1923
ENSG00000006715,3285
ENSG00000006740,273
ENSG00000006744,1826
ENSG00000006747,139
ENSG00000006756,8813
ENSG00000006757,1017
ENSG00000006788,5
ENSG00000006831,6980
ENSG00000006837,116
ENSG00000007001,56
ENSG00000007038,3
ENSG00000007047,1751
ENSG00000007062,255
ENSG00000007080,722
ENSG00000007129,95
ENSG00000007168,7710
ENSG00000007171,12
ENSG00000007174,535
ENSG00000007202,14983
ENSG00000007216,124
ENSG00000007237,4881
ENSG00000007255,439
ENSG00000007264,149
ENSG00000007306,21
ENSG00000007312,118
ENSG00000007314,96
ENSG00000007341,472
ENSG00000007350,4
ENSG00000007372,126
ENSG00000007376,845
ENSG00000007384,1872
ENSG00000007392,1286
ENSG00000007402,125
