,genes
0,ENSG00000000003
1,ENSG00000000005
2,ENSG00000000419
3,ENSG00000000457
4,ENSG00000000460
5,ENSG00000000938
6,ENSG00000000971
7,ENSG00000001036
8,ENSG00000001084
9,ENSG00000001167
10,ENSG00000001460
11,ENSG00000001461
12,ENSG00000001497
13,ENSG00000001561
14,ENSG00000001617
15,ENSG00000001626
16,ENSG00000001629
17,ENSG00000001630
18,ENSG00000001631
19,ENSG00000002016
20,ENSG00000002079
21,ENSG00000002330
22,ENSG00000002549
23,ENSG00000002586
24,ENSG00000002587
25,ENSG00000002726
26,ENSG00000002745
27,ENSG00000002746
28,ENSG00000002822
29,ENSG00000002834
30,ENSG00000002919
31,ENSG00000002933
32,ENSG00000003056
33,ENSG00000003096
34,ENSG00000003137
35,ENSG00000003147
36,ENSG00000003249
37,ENSG00000003393
38,ENSG00000003400
39,ENSG00000003402
40,ENSG00000003436
41,ENSG00000003509
42,ENSG00000003756
43,ENSG00000003987
44,ENSG00000003989
45,ENSG00000004059
46,ENSG00000004139
47,ENSG00000004142
48,ENSG00000004399
49,ENSG00000004455
50,ENSG00000004468
51,ENSG00000004478
52,ENSG00000004487
53,ENSG00000004534
54,ENSG00000004660
55,ENSG00000004700
56,ENSG00000004766
57,ENSG00000004776
58,ENSG00000004777
59,ENSG00000004779
60,ENSG00000004799
61,ENSG00000004809
62,ENSG00000004838
63,ENSG00000004846
64,ENSG00000004848
65,ENSG00000004864
66,ENSG00000004866
67,ENSG00000004897
68,ENSG00000004939
69,ENSG00000004948
70,ENSG00000004961
71,ENSG00000004975
72,ENSG00000005001
73,ENSG00000005007
74,ENSG00000005020
75,ENSG00000005022
76,ENSG00000005059
77,ENSG00000005073
78,ENSG00000005075
79,ENSG00000005100
80,ENSG00000005102
81,ENSG00000005108
82,ENSG00000005156
83,ENSG00000005175
84,ENSG00000005187
85,ENSG00000005189
86,ENSG00000005194
87,ENSG00000005206
88,ENSG00000005238
89,ENSG00000005243
90,ENSG00000005249
91,ENSG00000005302
92,ENSG00000005339
93,ENSG00000005379
94,ENSG00000005381
95,ENSG00000005421
96,ENSG00000005436
97,ENSG00000005448
98,ENSG00000005469
99,ENSG00000005471
100,ENSG00000005483
101,ENSG00000005486
102,ENSG00000005513
103,ENSG00000005700
104,ENSG00000005801
105,ENSG00000005810
106,ENSG00000005812
107,ENSG00000005844
108,ENSG00000005882
109,ENSG00000005884
110,ENSG00000005889
111,ENSG00000005893
112,ENSG00000005961
113,ENSG00000005981
114,ENSG00000006007
115,ENSG00000006015
116,ENSG00000006016
117,ENSG00000006025
118,ENSG00000006042
119,ENSG00000006047
120,ENSG00000006059
121,ENSG00000006062
122,ENSG00000006071
123,ENSG00000006116
124,ENSG00000006118
125,ENSG00000006125
126,ENSG00000006128
127,ENSG00000006194
128,ENSG00000006210
129,ENSG00000006282
130,ENSG00000006283
131,ENSG00000006327
132,ENSG00000006377
133,ENSG00000006432
134,ENSG00000006451
135,ENSG00000006453
136,ENSG00000006459
137,ENSG00000006468
138,ENSG00000006530
139,ENSG00000006534
140,ENSG00000006555
141,ENSG00000006576
142,ENSG00000006606
143,ENSG00000006607
144,ENSG00000006611
145,ENSG00000006625
146,ENSG00000006634
147,ENSG00000006638
148,ENSG00000006652
149,ENSG00000006659
150,ENSG00000006695
151,ENSG00000006704
152,ENSG00000006712
153,ENSG00000006715
154,ENSG00000006740
155,ENSG00000006744
156,ENSG00000006747
157,ENSG00000006756
158,ENSG00000006757
159,ENSG00000006788
160,ENSG00000006831
161,ENSG00000006837
162,ENSG00000007001
163,ENSG00000007038
164,ENSG00000007047
165,ENSG00000007062
166,ENSG00000007080
167,ENSG00000007129
168,ENSG00000007168
169,ENSG00000007171
170,ENSG00000007174
171,ENSG00000007202
172,ENSG00000007216
173,ENSG00000007237
174,ENSG00000007255
175,ENSG00000007264
176,ENSG00000007306
177,ENSG00000007312
178,ENSG00000007314
179,ENSG00000007341
180,ENSG00000007350
181,ENSG00000007372
182,ENSG00000007376
183,ENSG00000007384
184,ENSG00000007392
185,ENSG00000007402
186,ENSG00000007516
187,ENSG00000007520
188,ENSG00000007541
189,ENSG00000007545
190,ENSG00000007866
191,ENSG00000007908
192,ENSG00000007923
193,ENSG00000007933
194,ENSG00000007944
195,ENSG00000007952
196,ENSG00000007968
197,ENSG00000008018
198,ENSG00000008056
199,ENSG00000008083
200,ENSG00000008086
201,ENSG00000008118
202,ENSG00000008128
203,ENSG00000008130
204,ENSG00000008196
205,ENSG00000008197
206,ENSG00000008226
207,ENSG00000008256
208,ENSG00000008277
209,ENSG00000008282
210,ENSG00000008283
211,ENSG00000008294
212,ENSG00000008300
213,ENSG00000008311
214,ENSG00000008323
215,ENSG00000008324
216,ENSG00000008382
217,ENSG00000008394
218,ENSG00000008405
219,ENSG00000008438
220,ENSG00000008441
221,ENSG00000008513
222,ENSG00000008516
223,ENSG00000008517
224,ENSG00000008710
225,ENSG00000008735
226,ENSG00000008838
227,ENSG00000008853
228,ENSG00000008869
229,ENSG00000008952
230,ENSG00000008988
231,ENSG00000009307
232,ENSG00000009335
233,ENSG00000009413
234,ENSG00000009694
235,ENSG00000009709
236,ENSG00000009724
237,ENSG00000009765
238,ENSG00000009780
239,ENSG00000009790
240,ENSG00000009830
241,ENSG00000009844
242,ENSG00000009950
243,ENSG00000009954
244,ENSG00000010017
245,ENSG00000010030
246,ENSG00000010072
247,ENSG00000010165
248,ENSG00000010219
249,ENSG00000010244
250,ENSG00000010256
251,ENSG00000010270
252,ENSG00000010278
253,ENSG00000010282
254,ENSG00000010292
255,ENSG00000010295
256,ENSG00000010310
257,ENSG00000010318
258,ENSG00000010319
259,ENSG00000010322
260,ENSG00000010327
261,ENSG00000010361
262,ENSG00000010379
263,ENSG00000010404
264,ENSG00000010438
265,ENSG00000010539
266,ENSG00000010610
267,ENSG00000010626
268,ENSG00000010671
269,ENSG00000010704
270,ENSG00000010803
271,ENSG00000010810
272,ENSG00000010818
273,ENSG00000010932
274,ENSG00000011007
275,ENSG00000011009
276,ENSG00000011021
277,ENSG00000011028
278,ENSG00000011052
279,ENSG00000011083
280,ENSG00000011105
281,ENSG00000011114
282,ENSG00000011132
283,ENSG00000011143
284,ENSG00000011198
285,ENSG00000011201
286,ENSG00000011243
287,ENSG00000011258
288,ENSG00000011260
289,ENSG00000011275
290,ENSG00000011295
291,ENSG00000011304
292,ENSG00000011332
293,ENSG00000011347
294,ENSG00000011376
295,ENSG00000011405
296,ENSG00000011422
297,ENSG00000011426
298,ENSG00000011451
299,ENSG00000011454
300,ENSG00000011465
301,ENSG00000011478
302,ENSG00000011485
303,ENSG00000011523
304,ENSG00000011566
305,ENSG00000011590
306,ENSG00000011600
307,ENSG00000011638
308,ENSG00000011677
309,ENSG00000012048
310,ENSG00000012061
311,ENSG00000012124
312,ENSG00000012171
313,ENSG00000012174
314,ENSG00000012211
315,ENSG00000012223
316,ENSG00000012232
317,ENSG00000012504
318,ENSG00000012660
319,ENSG00000012779
320,ENSG00000012817
321,ENSG00000012822
322,ENSG00000012963
323,ENSG00000012983
324,ENSG00000013016
325,ENSG00000013275
326,ENSG00000013288
327,ENSG00000013293
328,ENSG00000013297
329,ENSG00000013306
330,ENSG00000013364
331,ENSG00000013374
332,ENSG00000013375
333,ENSG00000013392
334,ENSG00000013441
335,ENSG00000013503
336,ENSG00000013523
337,ENSG00000013561
338,ENSG00000013563
339,ENSG00000013573
340,ENSG00000013583
341,ENSG00000013588
342,ENSG00000013619
343,ENSG00000013725
344,ENSG00000013810
345,ENSG00000014123
346,ENSG00000014138
347,ENSG00000014164
348,ENSG00000014216
349,ENSG00000014257
350,ENSG00000014641
351,ENSG00000014824
352,ENSG00000014914
353,ENSG00000014919
354,ENSG00000015133
355,ENSG00000015153
356,ENSG00000015171
357,ENSG00000015285
358,ENSG00000015413
359,ENSG00000015475
360,ENSG00000015479
361,ENSG00000015520
362,ENSG00000015532
363,ENSG00000015568
364,ENSG00000015592
365,ENSG00000015676
366,ENSG00000016082
367,ENSG00000016391
368,ENSG00000016402
369,ENSG00000016490
370,ENSG00000016602
371,ENSG00000016864
372,ENSG00000017260
373,ENSG00000017427
374,ENSG00000017483
375,ENSG00000017797
376,ENSG00000018189
377,ENSG00000018236
378,ENSG00000018280
379,ENSG00000018408
380,ENSG00000018510
381,ENSG00000018607
382,ENSG00000018610
383,ENSG00000018625
384,ENSG00000018699
385,ENSG00000018869
386,ENSG00000019102
387,ENSG00000019144
388,ENSG00000019169
389,ENSG00000019186
390,ENSG00000019485
391,ENSG00000019505
392,ENSG00000019549
393,ENSG00000019582
394,ENSG00000019991
395,ENSG00000019995
396,ENSG00000020129
397,ENSG00000020181
398,ENSG00000020219
399,ENSG00000020256
400,ENSG00000020426
401,ENSG00000020577
402,ENSG00000020633
403,ENSG00000020922
404,ENSG00000021300
405,ENSG00000021355
406,ENSG00000021461
407,ENSG00000021488
408,ENSG00000021574
409,ENSG00000021645
410,ENSG00000021762
411,ENSG00000021776
412,ENSG00000021826
413,ENSG00000021852
414,ENSG00000022267
415,ENSG00000022277
416,ENSG00000022355
417,ENSG00000022556
418,ENSG00000022567
419,ENSG00000022840
420,ENSG00000022976
421,ENSG00000023041
422,ENSG00000023171
423,ENSG00000023191
424,ENSG00000023228
425,ENSG00000023287
426,ENSG00000023318
427,ENSG00000023330
428,ENSG00000023445
429,ENSG00000023516
430,ENSG00000023572
431,ENSG00000023608
432,ENSG00000023697
433,ENSG00000023734
434,ENSG00000023839
435,ENSG00000023892
436,ENSG00000023902
437,ENSG00000023909
438,ENSG00000024048
439,ENSG00000024422
440,ENSG00000024526
441,ENSG00000024862
442,ENSG00000025039
443,ENSG00000025156
444,ENSG00000025293
445,ENSG00000025423
446,ENSG00000025434
447,ENSG00000025708
448,ENSG00000025770
449,ENSG00000025772
450,ENSG00000025796
451,ENSG00000025800
452,ENSG00000026025
453,ENSG00000026036
454,ENSG00000026103
455,ENSG00000026297
456,ENSG00000026508
457,ENSG00000026559
458,ENSG00000026652
459,ENSG00000026751
460,ENSG00000026950
461,ENSG00000027001
462,ENSG00000027075
463,ENSG00000027644
464,ENSG00000027697
465,ENSG00000027847
466,ENSG00000027869
467,ENSG00000028116
468,ENSG00000028137
469,ENSG00000028203
470,ENSG00000028277
471,ENSG00000028310
472,ENSG00000028528
473,ENSG00000028839
474,ENSG00000029153
475,ENSG00000029363
476,ENSG00000029364
477,ENSG00000029534
478,ENSG00000029559
479,ENSG00000029639
480,ENSG00000029725
481,ENSG00000029993
482,ENSG00000030066
483,ENSG00000030110
484,ENSG00000030304
485,ENSG00000030419
486,ENSG00000030582
487,ENSG00000031003
488,ENSG00000031081
489,ENSG00000031691
490,ENSG00000031698
491,ENSG00000031823
492,ENSG00000032219
493,ENSG00000032389
494,ENSG00000032444
495,ENSG00000032742
496,ENSG00000033011
497,ENSG00000033030
498,ENSG00000033050
499,ENSG00000033100
500,ENSG00000033122
501,ENSG00000033170
502,ENSG00000033178
503,ENSG00000033327
504,ENSG00000033627
505,ENSG00000033800
506,ENSG00000033867
507,ENSG00000034053
508,ENSG00000034152
509,ENSG00000034239
510,ENSG00000034510
511,ENSG00000034533
512,ENSG00000034677
513,ENSG00000034693
514,ENSG00000034713
515,ENSG00000034971
516,ENSG00000035115
517,ENSG00000035141
518,ENSG00000035403
519,ENSG00000035499
520,ENSG00000035664
521,ENSG00000035681
522,ENSG00000035687
523,ENSG00000035720
524,ENSG00000035862
525,ENSG00000035928
526,ENSG00000036054
527,ENSG00000036257
528,ENSG00000036448
529,ENSG00000036473
530,ENSG00000036530
531,ENSG00000036549
532,ENSG00000036565
533,ENSG00000036672
534,ENSG00000036828
535,ENSG00000037042
536,ENSG00000037241
537,ENSG00000037280
538,ENSG00000037474
539,ENSG00000037637
540,ENSG00000037749
541,ENSG00000037757
542,ENSG00000037897
543,ENSG00000037965
544,ENSG00000038002
545,ENSG00000038210
546,ENSG00000038219
547,ENSG00000038274
548,ENSG00000038295
549,ENSG00000038358
550,ENSG00000038382
551,ENSG00000038427
552,ENSG00000038532
553,ENSG00000038945
554,ENSG00000039068
555,ENSG00000039123
556,ENSG00000039139
557,ENSG00000039319
558,ENSG00000039523
