name	node_id
Q494X3	1
P26006	2
O43296	3
P83876	4
O95622	5
Q8WV37	6
O95997	7
O94892	8
P01308	9
P07948	10
Q6ZMY9	11
A2RRD8	12
Q8N823	13
Q8N7Q3	14
P48742	15
Q9H7R5	16
P42677	17
Q5TCU6	18
P11215	19
Q6AZW8	20
A6NGH9	21
Q8NDQ6	22
P01023	23
Q15418	24
Q14584	25
O95400	26
O95965	27
P17081	28
Q9H0M5	29
Q7Z7L9	30
O95780	31
Q9H900	32
O60508	33
P32298	34
Q6ZN11	35
Q15973	36
Q7Z4I7	37
O00487	38
Q9BS34	39
Q08174	40
P10966	41
Q5TEC3	42
Q13535	43
O43897	44
B4E2Z2	45
P49450	46
P52737	47
O15085	48
P20333	49
Q13207	50
Q14592	51
P22392	52
Q15929	53
Q86US8	54
P61353	55
P61224	56
P11021	57
P14635	58
P50748	59
P28070	60
P63211	61
Q13546	62
P19388	63
O43830	64
Q8IYI8	65
P38398	66
P05556	67
O75290	68
P08912	69
O15126	70
Q86UP0	71
P16415	72
P49841	73
Q96BR6	74
P17032	75
P61966	76
P52434	77
O15398	78
Q9BSG1	79
Q20WL3	80
P05386	81
O43930	82
P27694	83
P22087	84
O43747	85
Q7L945	86
Q3SXZ3	87
B4DNF9	88
Q6V9R5	89
O14933	90
Q5EBL2	91
A8K690	92
P59923	93
Q03923	94
Q8TC21	95
O75531	96
P48061	97
Q9Y5E9	98
Q15750	99
Q96JC4	100
P62829	101
P20800	102
O60566	103
Q8NDP4	104
P06241	105
Q96C28	106
Q9H444	107
P04225	108
Q9HCL0	109
Q96JL9	110
P21860	111
Q96NJ6	112
Q9Y5F1	113
A8MT65	114
P53803	115
P20936	116
Q96LQ7	117
P25786	118
P51003	119
Q6P3V2	120
P05362	121
P10523	122
P09211	123
Q147U1	124
B4DNT8	125
P42224	126
P23396	127
Q8N8L2	128
O14628	129
Q32M78	130
A6NK75	131
P14780	132
Q8N988	133
P42336	134
Q8IUM6	135
B4E1Q1	136
P26599	137
Q13797	138
Q13554	139
Q9HCU4	140
Q06455	141
P40189	142
P10072	143
Q14181	144
P13073	145
Q9HCL3	146
P11055	147
P22607	148
P26012	149
Q15054	150
P60228	151
P54652	152
P47901	153
P20702	154
P10826	155
Q99567	156
Q6U7Q0	157
P01589	158
P51523	159
P30260	160
B1AHM1	161
P07996	162
Q02386	163
Q8N8J6	164
P68032	165
P60763	166
Q03692	167
P07288	168
P05113	169
O75643	170
Q6V1P9	171
P17098	172
P84085	173
A6NKZ1	174
O75530	175
Q9NYQ6	176
P35789	177
Q15365	178
O43561	179
Q6PF04	180
Q68CX6	181
P52701	182
P17035	183
P17030	184
A8MVS1	185
B4DLU5	186
O75821	187
P02458	188
O00231	189
A8MQ14	190
P17038	191
Q7Z738	192
O15350	193
A8K781	194
Q14929	195
Q7Z7A1	196
Q8N9K5	197
P31749	198
P63261	199
P42226	200
B4E2E1	201
P14921	202
P52952	203
Q04727	204
Q03924	205
P30542	206
Q9H3T2	207
P15622	208
O75373	209
Q16832	210
Q14587	211
B5BUB8	212
Q5VVX4	213
Q5T619	214
Q5JNZ3	215
P43686	216
Q86TJ5	217
P0C0L4	218
P05067	219
Q2M3X9	220
