UniProtKB Gene Name ID,node_id,Gene stable ID
Q494X3,1,ENSG00000176222
P26006,2,ENSG00000005884
O43296,3,ENSG00000083844
P83876,4,ENSG00000141759
O95622,5,ENSG00000173175
Q8WV37,6,ENSG00000198464
O95997,7,ENSG00000164611
O94892,8,ENSG00000256087
P01308,9,ENSG00000254647
P07948,10,ENSG00000254087
Q6ZMY9,11,ENSG00000197363
A2RRD8,12,ENSG00000182986
Q8N823,13,ENSG00000213020
Q8N7Q3,14,ENSG00000196109
P48742,15,ENSG00000273706
Q9H7R5,16,ENSG00000197497
P42677,17,ENSG00000177954
P11215,19,ENSG00000169896
Q8NDQ6,22,ENSG00000171817
P01023,23,ENSG00000175899
Q15418,24,ENSG00000117676
Q14584,25,ENSG00000174652
O95400,26,ENSG00000169217
O95965,27,ENSG00000198542
P17081,28,ENSG00000119729
Q9H0M5,29,ENSG00000196757
O95780,31,ENSG00000197124
Q9H900,32,ENSG00000174442
O60508,33,ENSG00000168438
P32298,34,ENSG00000125388
Q6ZN11,35,ENSG00000188227
Q15973,36,ENSG00000196418
Q7Z4I7,37,ENSG00000072163
O00487,38,ENSG00000115233
Q9BS34,39,ENSG00000277462
Q08174,40,ENSG00000156453
P10966,41,ENSG00000172116
Q5TEC3,42,ENSG00000143067
Q13535,43,ENSG00000175054
O43897,44,ENSG00000038295
P49450,46,ENSG00000115163
P52737,47,ENSG00000196646
O15085,48,ENSG00000132694
P20333,49,ENSG00000028137
Q13207,50,ENSG00000121068
Q14592,51,ENSG00000197714
P22392,52,ENSG00000243678
Q86US8,54,ENSG00000070366
P61353,55,ENSG00000131469
P61224,56,ENSG00000127314
P11021,57,ENSG00000044574
P14635,58,ENSG00000134057
P50748,59,ENSG00000184445
P28070,60,ENSG00000159377
P63211,61,ENSG00000127928
Q13546,62,ENSG00000137275
P19388,63,ENSG00000099817
Q8IYI8,65,ENSG00000171295
P38398,66,ENSG00000012048
P05556,67,ENSG00000150093
O75290,68,ENSG00000197782
P08912,69,ENSG00000184984
O15126,70,ENSG00000085365
Q86UP0,71,ENSG00000139880
P16415,72,ENSG00000197933
P49841,73,ENSG00000082701
Q96BR6,74,ENSG00000188295
P17032,75,ENSG00000075407
P61966,76,ENSG00000106367
P52434,77,ENSG00000163882
Q9BSG1,79,ENSG00000275111
P05386,81,ENSG00000137818
O43930,82,ENSG00000099725
P27694,83,ENSG00000132383
P22087,84,ENSG00000105202
O43747,85,ENSG00000166747
Q7L945,86,ENSG00000198551
Q3SXZ3,87,ENSG00000250312
Q6V9R5,89,ENSG00000171466
O14933,90,ENSG00000156587
Q5EBL2,91,ENSG00000197483
P59923,93,ENSG00000185219
Q03923,94,ENSG00000105750
Q8TC21,95,ENSG00000172748
O75531,96,ENSG00000175334
P48061,97,ENSG00000107562
Q9Y5E9,98,ENSG00000120327
Q15750,99,ENSG00000100324
Q96JC4,100,ENSG00000185177
P62829,101,ENSG00000125691
P20800,102,ENSG00000127129
O60566,103,ENSG00000156970
Q8NDP4,104,ENSG00000171291
P06241,105,ENSG00000010810
Q96C28,106,ENSG00000181135
Q9H444,107,ENSG00000101421
Q9HCL0,109,ENSG00000189184
Q96JL9,110,ENSG00000160961
P21860,111,ENSG00000065361
Q96NJ6,112,ENSG00000180787
Q9Y5F1,113,ENSG00000120328
A8MT65,114,ENSG00000214029
P53803,115,ENSG00000147669
P20936,116,ENSG00000145715
P25786,118,ENSG00000129084
P51003,119,ENSG00000090060
Q6P3V2,120,ENSG00000196967
P05362,121,ENSG00000090339
P10523,122,ENSG00000130561
P09211,123,ENSG00000084207
Q147U1,124,ENSG00000196605
P42224,126,ENSG00000115415
P23396,127,ENSG00000149273
Q8N8L2,128,ENSG00000177599
O14628,129,ENSG00000005801
Q32M78,130,ENSG00000196110
A6NK75,131,ENSG00000197360
P14780,132,ENSG00000100985
Q8N988,133,ENSG00000130544
P42336,134,ENSG00000121879
P26599,137,ENSG00000011304
Q13797,138,ENSG00000144668
Q13554,139,ENSG00000058404
Q9HCU4,140,ENSG00000143126
Q06455,141,ENSG00000079102
P40189,142,ENSG00000134352
P10072,143,ENSG00000181666
Q14181,144,ENSG00000014138
